id,Scenario,Region,WAT,Fossil,CO2,Costs,Consumption,Withdrawal,Inflow,Curtailment,ShedLoad,Label_1,Label_2
2017,Baseline,EAPP,32.01495668,174.7457653,281.189519,27.8425939,0.516204492,9.604586407,1291.157928,0.367686567,0.010181403,,
2018,Baseline,EAPP,37.5073452,165.8869463,271.1419999,26.8665306,0.498094759,9.256828618,1596.685831,0.003243895,0.009168235,,
1980,Baseline,NAPP,4.853143329,151.058469,459.7908148,34.96646383,0.547306636,44.57070743,287.0429201,0.480078258,2.50E-05,,
1981,Baseline,NAPP,5.447501864,149.9684948,457.265671,34.82768322,0.545132909,44.27642019,364.3133073,1.136813442,1.49E-05,,
1982,Baseline,NAPP,4.723008718,150.7299702,460.0237708,34.9919684,0.547796945,44.59752512,289.0865367,0.184351702,1.94E-05,,
1983,Baseline,NAPP,4.111175945,151.380869,461.9856542,35.16194649,0.550546842,44.7656338,263.4680023,0.09088456,2.04E-05,,
1984,Baseline,NAPP,4.385880223,151.4680238,461.0893638,35.08409147,0.549046568,44.6640153,265.488148,0.101695638,2.26E-05,,
1985,Baseline,NAPP,4.828591942,150.5831692,459.8820301,34.96895299,0.547068632,44.54592777,269.2783242,0.004009767,3.32E-05,,
1986,Baseline,NAPP,5.311867379,150.1030277,457.941332,34.84858803,0.545343916,44.36383851,323.3089442,0.369480145,2.83E-05,,
1987,Baseline,NAPP,4.691993133,150.8185757,460.3660134,35.00601999,0.54804646,44.6356977,300.8367402,0.149711593,2.23E-05,,
1988,Baseline,NAPP,4.909786198,150.9063084,459.4672558,34.93801796,0.546998261,44.54838377,319.4437526,0.589808014,2.78E-05,,
1989,Baseline,NAPP,4.696513336,150.749678,460.3454484,34.99808303,0.547656228,44.64430892,264.6084215,0.086344462,2.65E-05,,
1990,Baseline,NAPP,4.227421406,151.2778803,461.6649129,35.12800498,0.550006731,44.74333001,261.4338599,0.05353332,1.78E-05,,
1991,Baseline,NAPP,5.009870333,150.4263423,459.0239283,34.92381367,0.546766847,44.48706538,320.0037738,0.076091147,2.10E-05,,
1992,Baseline,NAPP,4.471630974,151.4278658,461.3551189,35.05471417,0.548551642,44.74662892,250.2774308,0.005610146,3.08E-05,,
1993,Baseline,NAPP,4.080586452,151.4150904,461.983735,35.16410035,0.550445043,44.75286367,236.0040409,0.012352151,2.41E-05,,
1994,Baseline,NAPP,5.02515499,150.3719233,458.8323667,34.91568314,0.546587724,44.483811,280.899941,0.024321219,4.02E-05,,
1995,Baseline,NAPP,4.244441245,151.2610729,461.739914,35.11141792,0.549813281,44.75831759,259.3275783,0.141404499,3.64E-05,,
1996,Baseline,NAPP,4.616860312,151.2588538,460.5424055,35.0095703,0.548287396,44.67952133,292.4384302,0.147445803,3.02E-05,,
1997,Baseline,NAPP,4.02643682,151.5384684,462.1348355,35.20120282,0.551047472,44.76978754,237.7815001,0.062114257,2.92E-05,,
1998,Baseline,NAPP,5.057718077,150.4766169,458.8787117,34.91706433,0.546736836,44.47515966,282.1667159,0.22977973,3.43E-05,,
1999,Baseline,NAPP,4.241369967,151.3021597,461.8600832,35.12644343,0.549733229,44.77572024,230.805205,0.095022284,3.75E-05,,
2000,Baseline,NAPP,3.104401654,152.0047602,464.0991838,35.49046327,0.555645963,44.6837187,215.8370433,0.438220377,0.000367103,,
2001,Baseline,NAPP,4.285435937,151.2373342,461.5164014,35.1173433,0.54967691,44.7213412,256.2843452,0.087101594,3.35E-05,,
2002,Baseline,NAPP,4.03107451,151.5570541,462.2765904,35.20884919,0.550924541,44.75491689,231.6997204,0.229017826,1.75E-05,,
2003,Baseline,NAPP,4.399367647,151.1708715,461.4090773,35.08742702,0.549183976,44.7266137,242.0807983,0.106950581,1.98E-05,,
2004,Baseline,NAPP,4.162914974,151.8020624,462.1827208,35.13921828,0.550161574,44.83560319,233.9665063,0.076824725,3.10E-05,,
2005,Baseline,NAPP,4.191553771,151.4084963,462.1542544,35.1554033,0.550263403,44.77274346,256.9970666,0.116076253,1.04E-05,,
2006,Baseline,NAPP,4.226654234,151.2800921,461.3647444,35.14579454,0.550179965,44.65810423,270.2523538,0.181253179,4.95E-05,,NAPP
2007,Baseline,NAPP,4.56313383,150.9246231,460.812699,35.02857424,0.548355741,44.7188956,267.1134463,0.031526562,3.64E-05,,
2008,Baseline,NAPP,4.124244187,151.8309555,462.2532189,35.17626081,0.550468791,44.80967558,237.6863897,0.025721407,1.34E-05,,
2009,Baseline,NAPP,4.282777632,151.2959771,461.6690719,35.11443849,0.549894622,44.75394748,252.2413831,0.07222021,4.31E-05,,
2010,Baseline,NAPP,4.909376424,150.6184703,459.566352,34.94768519,0.547346186,44.54812458,277.5916249,0.045725668,2.57E-05,,
2011,Baseline,NAPP,4.581932474,150.8636058,460.7112822,35.03729877,0.548381171,44.66908472,284.7112376,0.024181931,2.71E-05,,
2012,Baseline,NAPP,4.802960627,151.0500197,460.1770759,34.95817561,0.547134662,44.61424798,275.5681232,0.085931647,3.23E-05,,
2013,Baseline,NAPP,4.706475305,150.7084522,460.1580533,34.97125799,0.547518062,44.62754173,269.4797236,0.103416304,1.63E-05,,
2014,Baseline,NAPP,4.406235088,151.1172183,461.3983153,35.0879884,0.549101523,44.72739112,239.5620561,0.068837285,3.17E-05,NAPP,
2015,Baseline,NAPP,4.91626411,150.6805433,459.7673822,34.95981257,0.547169797,44.56829292,288.0249727,0.256538862,4.21E-05,,
2016,Baseline,NAPP,4.218549856,151.8397131,462.0468102,35.13033991,0.550160093,44.81666585,245.8038693,0.490888192,4.00E-05,,
2017,Baseline,NAPP,3.991527421,151.5300955,462.3255682,35.19239092,0.550996085,44.78881599,243.8587222,0.007075214,3.43E-05,,
2018,Baseline,NAPP,4.585252705,150.9359176,460.7894469,35.0262861,0.54812452,44.67821795,250.4223323,0.076931193,1.93E-05,,
1980,Baseline,SAPP,51.16564258,248.7578947,601.6425684,16.78946579,1.096392936,14.02932582,2027.606188,0.00E+00,0,,
1981,Baseline,SAPP,44.24153564,254.6431316,618.0336192,17.24342174,1.126552351,14.17828847,1783.861331,0.00E+00,0,,
1982,Baseline,SAPP,44.65541573,254.8343084,617.7838123,17.22320146,1.129541487,14.18353419,1760.629721,0.00E+00,0,,
1983,Baseline,SAPP,47.56503496,250.554706,609.6217136,17.01069548,1.111070074,14.12603252,1878.322748,0.00E+00,0,,
1984,Baseline,SAPP,47.14505556,252.8802171,611.5610035,17.06427931,1.115119406,14.1144915,1889.872549,0.000385159,0,,
1985,Baseline,SAPP,54.38285037,244.9249605,594.0060653,16.5761767,1.085146386,13.98455002,2158.221377,0.00E+00,0,,
1986,Baseline,SAPP,49.09857696,249.6903349,606.3046847,16.91551849,1.105085523,14.08073031,1969.496268,7.92E-05,0,,
1987,Baseline,SAPP,53.9807787,244.8552134,594.4963198,16.5964928,1.08346497,13.98125107,2149.464565,0.00E+00,0,,
1988,Baseline,SAPP,45.58524725,253.4790176,614.8223316,17.14986069,1.124022245,14.18808285,1818.005774,0.00E+00,0,,
1989,Baseline,SAPP,46.53182984,252.538509,612.7416558,17.08878034,1.117784122,14.13377689,1814.109185,0.00E+00,0,,
1990,Baseline,SAPP,46.57628479,252.6991893,612.7911493,17.08908904,1.119308497,14.13838366,1821.067694,7.98E-05,0,,
1991,Baseline,SAPP,45.94627373,252.6929094,613.9766315,17.12404866,1.119777095,14.15526697,1851.494759,0.000289527,0,,
1992,Baseline,SAPP,42.27076219,257.2348464,623.1085643,17.37528322,1.136559926,14.22864847,1659.673522,0.00E+00,0,,
1993,Baseline,SAPP,42.05946374,256.6113284,623.0070286,17.38489821,1.136501982,14.2199225,1703.239829,0.002174118,0,,
1994,Baseline,SAPP,43.50542143,254.5712849,619.6084897,17.27537584,1.13211044,14.23094728,1724.973101,0.002446955,0,SAPP,
1995,Baseline,SAPP,47.82879881,250.9917712,609.3972681,16.99727142,1.113300118,14.12051552,1889.588121,0.001475208,0,,
1996,Baseline,SAPP,38.3835669,261.8232219,632.5368645,17.63816715,1.15376944,14.28082061,1573.375742,0.00293491,0,,
1997,Baseline,SAPP,37.41405436,260.8035411,634.3496089,17.68659229,1.156523354,14.3357608,1517.673894,0.003236138,5.31E-07,,
1998,Baseline,SAPP,56.06827319,242.4748418,589.4940025,16.4573874,1.077793408,13.97311427,2443.965622,13.76691639,0,,
1999,Baseline,SAPP,39.69506536,258.4246068,628.6859772,17.53153569,1.146103144,14.28561835,1556.740559,0.002509234,0,,
2000,Baseline,SAPP,25.62485184,268.3236918,659.9560667,18.51530682,1.202903842,14.68552834,1281.289433,0.275697289,5.49994E-05,,
2001,Baseline,SAPP,45.1736339,252.5849516,615.206078,17.15829867,1.121493768,14.18404795,1801.782649,0.00E+00,0,,
2002,Baseline,SAPP,41.05783429,256.150116,625.0170022,17.43092041,1.139307288,14.2814863,1683.45221,0.00E+00,0,,
2003,Baseline,SAPP,39.60330922,258.885809,629.3937153,17.54865886,1.147252665,14.286997,1611.863357,0.002991752,0,,
2004,Baseline,SAPP,36.27319316,261.8814704,636.910237,17.7537216,1.161331889,14.37891929,1473.920809,0.00E+00,0,,
2005,Baseline,SAPP,39.07466861,259.1778138,630.17159,17.57587105,1.149361801,14.2932597,1600.769763,0.00E+00,0,,
2006,Baseline,SAPP,36.79670771,260.4183387,635.4100264,17.71145699,1.158711452,14.36994597,1551.234527,0.004553111,0,,
2007,Baseline,SAPP,45.21845668,252.2092812,614.9803303,17.15713046,1.121112494,14.19178569,1842.925519,0.001440169,0,,
2008,Baseline,SAPP,36.62798975,262.3905492,636.3192397,17.74632778,1.160749616,14.34666871,1501.599944,0.000294977,0,,
2009,Baseline,SAPP,34.89240484,262.435025,639.5513544,17.84949713,1.167082505,14.39181399,1406.198958,0.00E+00,0,,
2010,Baseline,SAPP,49.54580607,249.4651982,605.4878912,16.89366488,1.106190997,14.08636282,1925.281532,0.00E+00,0,,
2011,Baseline,SAPP,41.62030937,256.589368,624.0325482,17.40324209,1.137703646,14.24632211,1689.816933,0.001641456,0,,
2012,Baseline,SAPP,41.21382873,257.5220896,625.363101,17.43316892,1.139498275,14.26601376,1662.775551,0.00E+00,1.48E-06,,
2013,Baseline,SAPP,43.84694194,254.1441093,618.4908152,17.25296745,1.127662743,14.204731,1756.7484,0.00E+00,0,,SAPP
2014,Baseline,SAPP,42.09361746,254.667758,621.9769706,17.35773197,1.134601479,14.26737871,1726.171694,0.00E+00,0,,
2015,Baseline,SAPP,42.48024354,255.7428636,622.1620453,17.3478392,1.137693435,14.2526727,1691.90669,0.004989068,0,,
2016,Baseline,SAPP,47.82451776,250.448531,608.6912647,16.98864998,1.109457326,14.13337395,1894.399998,0.00E+00,0,,
