date,AT_th,BE_th,BG_th,CZ_th,DK_th,DE_th,EE_th,IE_th,ES_th,FR_th,HR_th,IT_th,LV_th,LT_th,LU_th,HU_th,NL_th,PL_th,PT_th,RO_th,SI_th,SK_th,FI_th,SE_th,NO_th,CH_th,UK_th,EL_th
2019-08-21 22:00,1177.027107,1842.186463,424.4352319,1518.836873,772.8042065,11245.43891,1184.358489,1407.802471,3733.154829,4113.526146,245.5913849,17790.87415,1097.408456,1178.836086,77.27185378,775.9648705,2656.46003,4772.478568,1001.424101,1455.484313,269.2241745,548.4911147,7096.076699,7473.583655,6481.30582,20129.31368,13805.87384,152.3169359
2019-08-21 23:00,1313.998703,1829.850393,458.4808387,1638.638177,1102.197951,12206.42788,1273.626433,1216.299929,4848.626766,4719.594261,282.8535261,19761.13192,1186.101723,1382.393199,83.71117493,870.0712484,2646.562638,5215.22658,1375.125713,1402.966838,297.6633478,621.8042835,7773.910281,8510.649808,6840.875766,19865.39925,11091.69191,172.178563
2019-08-22 0:00,1253.638339,1751.72195,603.7420945,1622.393932,1317.269571,11673.00636,1324.551477,1247.354396,5947.011859,4609.986198,272.6911239,21967.87941,1325.843505,1505.010552,77.27185378,832.0984994,2509.978627,5033.144064,1892.79385,1608.035074,291.9755131,591.9359555,8355.891393,9320.717542,7181.15531,19692.53629,11813.86126,195.3069719
2019-08-22 1:00,1444.005642,2368.525453,864.7584136,2050.835885,2074.570398,14020.47616,1551.100165,1312.913824,6395.028793,5251.515746,308.2595314,25466.53986,1441.672732,1449.476576,88.00405569,974.0835608,3380.949129,6056.639468,2795.076199,2718.40455,348.8538599,676.1103345,8545.126037,10757.42486,8021.087464,19273.51166,11829.41036,237.0687944
2019-08-22 2:00,2340.124899,3449.987595,1334.587788,3116.864438,2008.966811,22509.55796,1514.970442,1547.54757,6745.261969,8376.957437,511.5075741,28630.19731,1511.046026,1507.884332,139.5186249,1616.318315,4976.408729,9888.038929,3199.593894,5634.37484,580.1591365,1143.142373,9292.329057,11214.52161,8614.159655,20218.78598,14327.63255,265.9976287
2019-08-22 3:00,4705.786875,6089.90659,1420.836658,5557.562194,2000.343705,44489.84554,1255.328213,2097.901722,6474.505486,16562.10076,1045.033686,30206.04699,1576.568504,1471.003288,283.3301305,3298.676194,8780.966238,19697.49488,3614.298424,7357.448193,1152.734493,2405.758058,9788.654629,11670.9923,8994.023665,20602.87924,21753.19203,289.3281404
2019-08-22 4:00,6029.071788,7095.2963,1407.218416,6891.620784,2071.853741,56212.66558,678.1360369,3208.961516,6361.573209,21022.18182,1363.45562,31447.0732,1145.302029,1193.265518,362.7484247,4338.799318,10477.37924,24995.13775,3769.4932,6947.31172,1471.253235,3182.334586,7462.203195,11075.73965,9066.012454,20690.02125,38461.56468,244.7261307
2019-08-22 5:00,5738.877728,6669.701883,1112.15649,6603.285442,1527.693357,53115.91496,171.2175184,4050.882601,7032.523366,19953.5032,1294.012538,24201.0907,318.6943287,655.0318229,347.723342,4112.613813,10039.91451,23590.2274,4063.601442,5479.323246,1385.935715,3011.270526,3844.2394,6248.00665,6642.804413,19331.6312,47383.29319,131.5357013
2019-08-22 6:00,4510.776467,6026.170228,1069.032055,5620.508642,198.3336287,42881.27869,0.523266036,3945.642466,6416.417829,15833.52952,1016.240213,7328.537549,26.0779928,113.0422356,270.4514882,3288.770259,8982.873037,18997.91469,3906.133186,5284.258339,1122.399375,2373.174427,1353.887388,2337.928677,3084.782161,10253.51559,45221.96818,93.72033163
2019-08-22 7:00,4359.875555,5804.120967,980.5134768,5407.302931,0,41469.89101,0,3645.449292,1664.985957,15222.62575,978.9780723,2921.117628,0,0,264.0121671,3178.153991,8642.40275,18336.66766,1351.6723,4906.632684,1084.480477,2294.430653,451.5752616,497.7662901,1886.521921,5204.546992,38140.2166,39.56759507
2019-08-22 8:00,4039.501313,4967.324214,926.0405059,4779.868982,0,37744.24264,0,3362.508599,381.4051167,14163.61843,914.6161921,1073.098406,0,0,248.9870844,2937.109584,7454.715702,16642.34193,361.2241663,4819.103558,985.8913431,2142.37371,4.025747887,47.198615,627.545274,1277.03974,36471.27978,7.133573571
2019-08-22 9:00,3932.709899,4475.937423,891.994899,4434.678784,0,36280.96571,0,3043.337695,57.47054815,13718.73865,897.6788552,544.277065,0,0,242.5477633,2871.070021,6801.487826,16059.67788,97.85589849,4664.051965,949.8683902,2115.220685,1.762878872,10.51044122,333.0281322,705.2764238,32649.65634,7.073278961
2019-08-22 10:00,3814.310723,4305.288453,798.936907,4278.327929,0,35068.83276,0,2794.901965,53.68678986,13238.39743,868.8853825,369.2361565,0,0,236.1084421,2781.91661,6579.786244,15498.09707,0.411399103,3911.301487,913.8454373,2047.338121,0.701902864,3.055873272,229.9584359,374.4787009,30533.25095,6.070400751
2019-08-22 11:00,3238.565708,4126.415437,769.4307144,3874.252344,0,30452.76481,0,2653.431619,32.94556132,11209.03637,726.6117526,330.3814931,0,0,201.765396,2365.86736,6215.562216,13397.43984,0,3781.258215,788.7130745,1721.501815,0.481559328,1.480756379,181.2025085,228.0246169,29126.92117,6.018238632
2019-08-22 12:00,3171.240686,4081.18318,733.1154005,3752.420509,0,29832.16934,0,2632.728641,51.68084714,10815.73685,701.2057473,401.3247825,0,0,199.6189556,2308.082742,6160.13682,13063.94133,0,3446.146706,762.169846,1680.772277,0.374603347,0.972033118,163.082801,144.3380456,26575.14096,5.291611101
2019-08-22 13:00,2890.332836,3729.605184,767.1610073,3500.634718,0,27252.23568,0,2572.344957,10.93556731,9934.036691,640.2313345,545.0037442,0,0,180.3009922,2103.360096,5580.149645,11969.52958,0,3686.226593,703.3955544,1526.000032,0.219158177,1.922861653,134.5748419,227.7399461,25839.15018,0.172066253
