h,n,id,Demand,rl,pump_in,pump_out,pump_net,rl_w_pumping,rrl,rrlwp,xid
2016-03-09T00:00:00Z,LT,1996,941,940.19069,615.0279293635858,0,-615.0279293635858,1555.2186193635857,2046,8036,0.7664383561643835
2016-02-15T09:00:00Z,LT,2008,1283,911.6321322267307,409.85448950850196,0,-409.85448950850196,1321.4866217352328,2046,6689,0.7664383561643835
2016-02-07T03:00:00Z,LT,1996,988,940.27107,5.305624470559252,0,-5.305624470559252,945.5766944705592,2047,1965,0.766324200913242
2016-11-14T20:00:00Z,LT,2008,1292,911.91952,0,0,0,911.91952,2047,1877,0.766324200913242
2016-11-29T07:00:00Z,LT,1996,1176,940.42462,365.79036557850236,0,-365.79036557850236,1306.2149855785024,2048,6275,0.7662100456621005
2016-05-25T04:00:00Z,LT,2008,1055,911.9624879232235,0,0,0,911.9624879232235,2048,1878,0.7662100456621005
2016-12-25T13:00:00Z,LT,1996,1176,940.4349536472996,0,0,0,940.4349536472996,2049,1926,0.7660958904109589
2016-10-31T09:00:00Z,LT,2008,1255,911.9963492796658,0,0,0,911.9963492796658,2049,1879,0.7660958904109589
2016-04-18T00:00:00Z,LT,1996,943,940.54153,0,0,0,940.54153,2050,1927,0.7659817351598174
2016-03-08T04:00:00Z,LT,2008,933,912.02411,0,0,0,912.02411,2050,1880,0.7659817351598174
2016-05-15T21:00:00Z,LT,1996,966,940.73833,0,0.02849467966176278,0.02849467966176278,940.7098353203382,2051,1928,0.7658675799086758
2016-10-29T02:00:00Z,LT,2008,925,912.06122,0,0,0,912.06122,2051,1881,0.7658675799086758
2016-09-10T03:00:00Z,LT,1996,958,940.75508,0,0,0,940.75508,2052,1929,0.7657534246575343
2016-03-21T03:00:00Z,LT,2008,933,912.131,642.9880663364662,0,-642.9880663364662,1555.1190663364662,2052,8290,0.7657534246575343
2016-06-03T03:00:00Z,LT,1996,956,940.8318,0,0,0,940.8318,2053,1930,0.7656392694063927
2016-08-05T22:00:00Z,LT,2008,994,912.1528,0,0,0,912.1528,2053,1882,0.7656392694063927
2016-02-07T02:00:00Z,LT,1996,989,940.85369,0,0,0,940.85369,2054,1931,0.7655251141552512
2016-09-01T00:00:00Z,LT,2008,928,912.30244,710.60016,0,-710.60016,1622.9026,2054,8679,0.7655251141552512
2016-11-16T00:00:00Z,LT,1996,951,941.21193,600.2377428755958,0,-600.2377428755958,1541.4496728755958,2055,7858,0.7654109589041096
2016-11-01T23:00:00Z,LT,2008,954,912.3129,79.1184708127877,0,-79.1184708127877,991.4313708127877,2055,2615,0.7654109589041096
2016-10-25T00:00:00Z,LT,1996,948,941.35246,587.4368848724359,0,-587.4368848724359,1528.7893448724358,2056,7787,0.765296803652968
2016-03-09T01:00:00Z,LT,2008,927,912.33062,398.1527389897792,0,-398.1527389897792,1310.4833589897792,2056,6527,0.765296803652968
2016-03-29T23:00:00Z,LT,1996,947,941.36537,0,0,0,941.36537,2057,1932,0.7651826484018265
2016-06-09T04:00:00Z,LT,2008,1032,912.4358060683085,0,0,0,912.4358060683085,2057,1883,0.7651826484018265
2016-01-17T03:00:00Z,LT,1996,979,941.37981,631.4911246468258,0,-631.4911246468258,1572.8709346468258,2058,8173,0.7650684931506849
2016-06-06T23:00:00Z,LT,2008,914,912.45773,561.9251283913627,0,-561.9251283913627,1474.3828583913628,2058,7653,0.7650684931506849
2016-12-03T01:00:00Z,LT,1996,1014,941.43187,605.7016689671459,0,-605.7016689671459,1547.1335389671458,2059,7906,0.7649543378995434
2016-01-18T22:00:00Z,LT,2008,1114,912.52762,0,0,0,912.52762,2059,1884,0.7649543378995434
2016-09-01T22:00:00Z,LT,1996,952,941.47897,0,0,0,941.47897,2060,1933,0.7648401826484018
2016-11-26T02:00:00Z,LT,2008,1006,912.55269,0,0,0,912.55269,2060,1885,0.7648401826484018
2016-02-25T02:00:00Z,LT,1996,996,941.50137,689.39484850075,0,-689.39484850075,1630.89621850075,2061,8472,0.7647260273972603
2016-11-14T00:00:00Z,LT,2008,1031,912.70331,0,0,0,912.70331,2061,1886,0.7647260273972603
2016-12-31T03:00:00Z,LT,1996,1051,941.5700899999999,605.5634489671461,0,-605.5634489671461,1547.133538967146,2062,7989,0.7646118721461187
2016-11-07T22:00:00Z,LT,2008,1118,912.8424600000001,0,7.333426626235799e-7,7.333426626235799e-7,912.8424592666574,2062,1887,0.7646118721461187
2016-08-21T22:00:00Z,LT,1996,945,941.61515,0,0,0,941.61515,2063,1934,0.7644977168949771
2016-03-11T16:00:00Z,LT,2008,1180,912.8479458667937,0,0,0,912.8479458667937,2063,1888,0.7644977168949771
2016-07-07T23:00:00Z,LT,1996,942,941.66915,0,0,0,941.66915,2064,1935,0.7643835616438356
