Region,C_ES-SH-HO_ELC,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-OF_GAS,C_ES-WH-SL_ELC01,C_ES-WH-SL_GAS,C_ES-WH-SR_ELC01,C_ES-WH-SR_GAS,C_ES-WH-SS_ELC01,C_ES-WH-SS_GAS,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH_ELC-HPA,R_ES-SH-DH_ELC-HPG,R_ES-SH-DH_ELC-R,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-DH-70_ELC-HPA,R_ES-SH-DH-70_ELC-HPG,R_ES-SH-DH-70_ELC-R,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC07,R_ES-SH-FL_ELC-HPA,R_ES-SH-FL_ELC-HPG,R_ES-SH-FL_ELC-R,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC-HPA,R_ES-SH-SD_ELC-HPG,R_ES-SH-SD_ELC-R,R_ES-WH-DH_ELC,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC,R_ES-WH-SD_ELC01,C_ES-SH-HO_ELC01,C_ES-SH-HR_ELC01,C_ES-SH-HR_ELC03,C_ES-SH-OF_ELC01,C_ES-SH-OF_ELC03,C_ES-SH-SL_ELC01,C_ES-SH-SL_ELC03,C_ES-SH-SR_ELC01,C_ES-SH-SR_ELC03,C_ES-SH-SS_ELC01,C_ES-SH-SS_ELC03,C_ES-WH-HO_ELC01,C_ES-WH-HR_ELC01,C_ES-WH-OF_ELC01,C_ES-WH-SL_ELC01,C_ES-WH-SR_ELC01,C_ES-WH-SS_ELC01,R_ES-SH-DH_ELC01,R_ES-SH-DH_ELC02,R_ES-SH-DH_ELC04,R_ES-SH-DH_ELC05,R_ES-SH-DH_ELC07,R_ES-SH-DH-70_ELC01,R_ES-SH-DH-70_ELC02,R_ES-SH-DH-70_ELC04,R_ES-SH-DH-70_ELC05,R_ES-SH-DH-70_ELC07,R_ES-SH-FL_ELC01,R_ES-SH-FL_ELC04,R_ES-SH-FL_ELC05,R_ES-SH-FL_ELC07,R_ES-SH-SD_ELC01,R_ES-SH-SD_ELC02,R_ES-SH-SD_ELC04,R_ES-SH-SD_ELC05,R_ES-SH-SD_ELC07,R_ES-WH-DH_ELC01,R_ES-WH-FL_ELC01,R_ES-WH-SD_ELC01
LT,0.0,0.1,0.1,0.1,,0.2,0.4,,0.1,0.2,,0.0,0.1,,0.1,0.2,,0.0,0.5,0.1,,0.0,,0.1,,0.0,,0.0,0.2,,0.4,,0.0,,0.0,,,,,0.0,,2.2,,,,0.0,,0.0,,,,,,0.1,0.2,,0.3,0.0,0.1,0.1,0.2,0.4,0.6,1.1,0.3,0.5,0.1,0.2,0.2,0.3,0.1,0.8,0.1,0.1,0.2,0.0,0.0,,,,3.0,0.0,,0.2,,1.4,2.7,,,,0.0,,0.7,,,0.2,0.3,0.1
LU,0.1,0.1,0.1,0.2,,0.3,0.6,,0.2,0.3,,0.1,0.1,,0.2,0.3,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.1,,,,,,,0.0,,,,,,,0.1,,,,,,0.1,,,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,0.9,2.3,0.5,1.1,0.2,0.4,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,3.0,0.0,,,,0.3,0.3,,0.1,1.0,0.1,,,2.2,0.9,0.1,,0.1
LV,0.1,0.1,0.1,0.1,,0.2,0.4,,0.1,0.2,,0.0,0.1,,0.1,0.2,,0.1,0.1,0.2,,0.1,,0.1,,0.1,,0.0,,,,,,,0.0,,,,,,,1.3,,,,,,0.0,,,,,,,0.1,,0.2,,0.0,0.2,0.2,0.6,0.6,2.1,0.2,0.8,0.2,0.5,0.3,0.7,0.1,0.1,0.3,0.1,0.1,0.1,0.4,,,,2.6,0.0,,,,2.2,2.6,,,,0.0,,0.9,,,0.1,,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.1,0.1,,0.0,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,0.0,0.3,,,,,0.1,,0.0,,0.0,,0.2,0.0,0.0,,0.1,,0.0,,0.0,,0.0,,0.0,0.1,0.1,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.1,,,,0.4,,,,,0.0,0.0,0.2
NL,1.5,3.1,1.2,2.3,5.5,4.2,8.4,13.2,1.6,3.2,8.7,1.1,2.2,7.7,2.5,5.1,7.6,0.4,0.7,0.9,0.8,0.2,0.2,0.4,0.4,0.2,0.2,0.2,,,,0.0,0.0,,0.1,,,,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,,1.6,,,0.1,0.1,0.1,0.2,0.3,0.1,0.5,0.8,1.5,4.6,3.5,8.3,12.6,61.2,4.8,23.5,3.2,11.9,7.6,22.9,1.0,1.0,0.9,0.2,0.4,0.2,0.7,,,0.1,9.6,0.2,,,,16.4,9.1,0.0,,8.9,28.7,,,77.8,19.4,0.3,,2.2
NO,2.6,5.5,0.4,0.9,,3.7,7.8,,0.9,2.0,,1.8,3.8,,0.9,1.9,,2.3,0.8,2.6,,0.7,,2.1,0.0,0.5,,3.6,,2.4,,1.5,0.1,,3.0,,3.3,,1.2,0.1,,8.2,4.1,0.7,1.5,0.1,0.7,6.7,,3.0,1.0,0.0,,2.3,3.2,2.8,3.7,1.8,1.6,9.7,1.5,0.0,12.7,2.7,3.2,0.7,6.2,1.3,3.2,0.4,2.9,0.9,4.2,1.1,2.1,0.8,6.5,,,11.4,,3.9,,,5.3,2.5,9.5,4.0,1.8,,6.9,,,4.8,,7.1,10.5,6.2
PL,0.9,1.8,1.6,3.4,,4.2,8.5,,2.0,4.1,,0.7,1.4,,2.0,4.0,,0.9,4.0,2.0,,0.7,,1.1,0.2,0.4,,0.3,1.8,,2.6,0.0,0.0,,0.2,,,,0.0,0.0,,8.3,,0.3,0.0,0.0,,0.2,,,0.0,0.0,,,1.9,,,,0.7,2.6,5.1,12.1,12.7,30.3,6.2,14.7,2.1,5.0,6.0,8.2,0.9,4.0,2.0,0.7,1.1,0.5,0.5,,,,49.8,0.2,,,,67.2,35.7,,,0.0,0.1,,17.5,,6.0,1.9,,0.8
PT,0.3,0.8,0.5,1.1,,1.0,2.2,,0.4,0.8,,0.1,0.2,,0.6,1.2,,0.4,1.3,0.6,,0.1,,0.2,,0.2,,0.4,,,,0.0,,,0.2,,2.7,,0.0,,,1.3,0.4,,0.0,,,0.7,,,0.0,,,,1.7,,1.3,,1.7,1.3,1.9,0.5,3.5,0.9,1.4,0.6,0.4,0.2,2.0,0.8,0.5,1.6,0.7,0.2,0.2,0.2,0.0,0.3,,,,0.0,1.6,,,,2.2,,,0.0,0.1,0.9,,2.0,,3.5,1.6,2.8
RO,0.1,0.2,0.2,0.4,,0.5,1.1,,0.2,0.5,,0.1,0.2,,0.2,0.4,,0.3,1.7,0.2,,0.1,,0.5,,0.1,,0.3,,,,,,,0.4,,,,,,,9.4,,,,,,0.3,,,,,,0.5,1.3,,0.8,0.2,0.4,0.3,0.6,2.7,1.6,7.3,0.8,3.5,0.3,1.2,0.6,2.1,0.1,0.5,0.2,0.1,0.1,0.1,1.1,,,,15.2,3.8,,,,35.9,7.8,,,,3.9,,,0.7,2.2,0.4,,0.2
SE,3.9,7.7,0.6,1.3,,5.5,11.1,0.9,1.4,2.8,0.1,2.7,5.4,,1.4,2.9,0.1,0.7,0.4,0.5,,0.1,,0.6,,0.1,,14.1,,16.7,,3.3,2.5,,6.3,,10.7,,1.5,1.1,,16.2,1.8,4.0,2.2,1.6,,8.1,,1.4,1.1,0.8,,,5.9,,6.1,,3.0,11.6,1.9,,16.6,,4.2,,8.0,,4.3,,0.7,0.2,0.9,0.2,0.6,0.2,18.6,,,4.0,21.5,8.8,,,,11.9,21.4,3.1,1.7,,10.6,,,3.4,0.1,7.6,7.8,3.7
