Scenario,Week,Region,Level,id
Baseline,36,EAPP,13144944.68,1985
Baseline,37,EAPP,13032214.84,1985
Baseline,38,EAPP,12881802.38,1985
Baseline,39,EAPP,12807470.05,1985
Baseline,40,EAPP,12728239,1985
Baseline,41,EAPP,12699442.52,1985
Baseline,42,EAPP,12707732.39,1985
Baseline,43,EAPP,12731730.23,1985
Baseline,44,EAPP,12831128.83,1985
Baseline,45,EAPP,12937937.83,1985
Baseline,46,EAPP,13025038.38,1985
Baseline,47,EAPP,13206298,1985
Baseline,48,EAPP,13431748.27,1985
Baseline,49,EAPP,13612073.02,1985
Baseline,50,EAPP,13752927.69,1985
Baseline,51,EAPP,13889096.21,1985
Baseline,52,EAPP,13961300.23,1985
Baseline,0,NAPP,146588.2508,1985
Baseline,1,NAPP,150103.2032,1985
Baseline,2,NAPP,152892.0789,1985
Baseline,3,NAPP,156358.3751,1985
Baseline,4,NAPP,161407.7223,1985
Baseline,5,NAPP,166697.04,1985
Baseline,6,NAPP,171717.8192,1985
Baseline,7,NAPP,176405.6255,1985
Baseline,8,NAPP,180492.1721,1985
Baseline,9,NAPP,183439.5253,1985
Baseline,10,NAPP,187735.373,1985
Baseline,11,NAPP,190855.3723,1985
Baseline,12,NAPP,195113.7622,1985
Baseline,13,NAPP,200875.8306,1985
Baseline,14,NAPP,206855.2767,1985
Baseline,15,NAPP,214650.0314,1985
Baseline,16,NAPP,224025.5996,1985
Baseline,17,NAPP,228527.8243,1985
Baseline,18,NAPP,229187.7533,1985
Baseline,19,NAPP,229170.6739,1985
Baseline,20,NAPP,231031.0272,1985
Baseline,21,NAPP,230375.2008,1985
Baseline,22,NAPP,226633.4334,1985
Baseline,23,NAPP,221837.6716,1985
Baseline,24,NAPP,216888.5259,1985
Baseline,25,NAPP,209803.1986,1985
Baseline,26,NAPP,202060.6611,1985
Baseline,27,NAPP,193133.5599,1985
Baseline,28,NAPP,183139.7877,1985
Baseline,29,NAPP,178419.576,1985
Baseline,30,NAPP,173870.5346,1985
Baseline,31,NAPP,167433.9804,1985
Baseline,32,NAPP,160017.7507,1985
Baseline,33,NAPP,154811.1324,1985
Baseline,34,NAPP,147969.9678,1985
Baseline,35,NAPP,142865.5656,1985
Baseline,36,NAPP,140628.7132,1985
Baseline,37,NAPP,139881.7303,1985
Baseline,38,NAPP,139519.5412,1985
Baseline,39,NAPP,137376.3023,1985
Baseline,40,NAPP,135798.9576,1985
Baseline,41,NAPP,133531.4572,1985
Baseline,42,NAPP,131432.2024,1985
Baseline,43,NAPP,131053.6863,1985
Baseline,44,NAPP,130710.5785,1985
Baseline,45,NAPP,131629.5972,1985
Baseline,46,NAPP,132854.3434,1985
Baseline,47,NAPP,133768.1913,1985
Baseline,48,NAPP,135273.507,1985
Baseline,49,NAPP,136926.8472,1985
Baseline,50,NAPP,138667.8865,1985
Baseline,51,NAPP,140243.4254,1985
Baseline,52,NAPP,141429.6118,1985
Baseline,0,SAPP,13017243.28,1985
Baseline,1,SAPP,12879159.6,1985
Baseline,2,SAPP,12756285.96,1985
Baseline,3,SAPP,12625128.59,1985
Baseline,4,SAPP,12511242.27,1985
Baseline,5,SAPP,12428569.52,1985
Baseline,6,SAPP,12350461.86,1985
Baseline,7,SAPP,12297935.53,1985
Baseline,8,SAPP,12290033.67,1985
Baseline,9,SAPP,12366008.5,1985
Baseline,10,SAPP,12450119.03,1985
Baseline,11,SAPP,12491240.93,1985
Baseline,12,SAPP,12622190.8,1985
Baseline,13,SAPP,12883817.35,1985
Baseline,14,SAPP,13204422.36,1985
Baseline,15,SAPP,13554511.76,1985
Baseline,16,SAPP,13877015,1985
Baseline,17,SAPP,14106524.3,1985
Baseline,18,SAPP,14276266.98,1985
Baseline,19,SAPP,14427443.87,1985
Baseline,20,SAPP,14542618.06,1985
Baseline,21,SAPP,14577257.54,1985
Baseline,22,SAPP,14541117.29,1985
Baseline,23,SAPP,14488334.32,1985
Baseline,24,SAPP,14425672.01,1985
Baseline,25,SAPP,14321324.77,1985
Baseline,26,SAPP,14219568.41,1985
Baseline,27,SAPP,14141207.76,1985
Baseline,28,SAPP,14056080.33,1985
Baseline,29,SAPP,13966036.44,1985
Baseline,30,SAPP,13886690.75,1985
Baseline,31,SAPP,13849609.45,1985
Baseline,32,SAPP,13837002.28,1985
Baseline,33,SAPP,13870660.8,1985
Baseline,34,SAPP,13974701.92,1985
Baseline,35,SAPP,14025816.68,1985
Baseline,36,SAPP,14090299.97,1985
Baseline,37,SAPP,14185761.51,1985
Baseline,38,SAPP,14248077.8,1985
Baseline,39,SAPP,14246011.32,1985
Baseline,40,SAPP,14193177.2,1985
Baseline,41,SAPP,14116119.31,1985
Baseline,42,SAPP,14015945.95,1985
Baseline,43,SAPP,13888066.86,1985
Baseline,44,SAPP,13779691.7,1985
Baseline,45,SAPP,13709370.87,1985
Baseline,46,SAPP,13661901.93,1985
Baseline,47,SAPP,13600446.08,1985
Baseline,48,SAPP,13564777.74,1985
Baseline,49,SAPP,13521423.79,1985
Baseline,50,SAPP,13465333.53,1985
Baseline,51,SAPP,13397531.86,1985
Baseline,52,SAPP,13352398.24,1985
Baseline,0,WAPP,9369838.24,1985
Baseline,1,WAPP,9295509.179,1985
Baseline,2,WAPP,9214519.214,1985
Baseline,3,WAPP,9121682.939,1985
Baseline,4,WAPP,9036778.848,1985
Baseline,5,WAPP,8947987.778,1985
Baseline,6,WAPP,8862295.203,1985
Baseline,7,WAPP,8773306.907,1985
Baseline,8,WAPP,8670602.5,1985
Baseline,9,WAPP,8552670.898,1985
Baseline,10,WAPP,8428454.904,1985
Baseline,11,WAPP,8306242.357,1985
Baseline,12,WAPP,8200901.929,1985
Baseline,13,WAPP,8116713.371,1985
Baseline,14,WAPP,8063028.898,1985
Baseline,15,WAPP,8049600.464,1985
Baseline,16,WAPP,8052394.236,1985
Baseline,17,WAPP,8064554.336,1985
Baseline,18,WAPP,8087693.213,1985
Baseline,19,WAPP,8127577.513,1985
Baseline,20,WAPP,8177217.627,1985
Baseline,21,WAPP,8221626.792,1985
Baseline,22,WAPP,8266302.825,1985
Baseline,23,WAPP,8308224.307,1985
Baseline,24,WAPP,8356456.718,1985
Baseline,25,WAPP,8418349.617,1985
Baseline,26,WAPP,8479114.305,1985
Baseline,27,WAPP,8546170.781,1985
Baseline,28,WAPP,8625806.411,1985
Baseline,29,WAPP,8727938.869,1985
Baseline,30,WAPP,8841257.384,1985
Baseline,31,WAPP,8969088.156,1985
Baseline,32,WAPP,9113077.194,1985
Baseline,33,WAPP,9254574.672,1985
Baseline,34,WAPP,9386191.942,1985
Baseline,35,WAPP,9504909.959,1985
Baseline,36,WAPP,9623603.328,1985
Baseline,37,WAPP,9760470.938,1985
