TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	20.000000	0.000000	0.000000	1.000000	0.900000	0.076719	0.000000	%f\t
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.500000	0.950000	0.076719	0.000000	%f\t
DHN_DEEP_GEO	1261.272167	46.803456	30.000000	0.000000	0.778501	20.000000	0.000000	0.300000	0.500000	0.850000	0.051847	629.620140	%f\t
DEC_HP_ELEC	3193.304018	136.617136	18.000000	0.000000	6.077275	20.000000	0.000000	0.500000	0.500000	1.000000	0.073479	1002.081834	%f\t
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.200000	1.000000	0.067995	0.000000	%f\t
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.400000	1.000000	0.067995	0.000000	%f\t
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.400000	1.000000	0.067995	0.000000	%f\t
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.200000	1.000000	0.067995	0.000000	%f\t
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.200000	1.000000	0.067995	0.000000	%f\t
DEC_BOILER_GAS	423.748139	12.714947	17.000000	0.000000	2.502942	20.000000	0.200000	0.200000	0.800000	1.000000	0.076719	52.787054	%f\t
DEC_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	20.000000	0.000000	0.000000	1.000000	1.000000	0.076719	0.000000	%f\t
DEC_BOILER_OIL	184.811483	11.085043	17.000000	0.000000	1.215465	20.000000	0.100000	0.100000	0.500000	1.000000	0.076719	25.634161	%f\t
DEC_SOLAR	0.000000	0.000000	20.000000	0.000000	0.000000	20.000000	0.000000	0.000000	0.400000	1.000000	0.067995	0.000000	%f\t
DEC_DIRECT_ELEC	160.170403	0.712869	15.000000	0.000000	3.751942	20.000000	0.000000	0.200000	0.200000	1.000000	0.084526	5.515355	%f\t
TRAMWAY_TROLLEY	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.200000	0.300000	1.000000	1.031250	0.000000	%f\t
BUS_COACH_DIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	%f\t
BUS_COACH_HYDIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	%f\t
BUS_COACH_CNG_STOICH	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	%f\t
BUS_COACH_CapitalfC_HYBRIDH2	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.200000	1.000000	1.031250	0.000000	%f\t
TRAIN_PUB	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.800000	0.800000	1.000000	1.031250	0.000000	%f\t
CAR_GASOLINE	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.200000	0.200000	1.000000	1.000000	1.031250	0.000000	%f\t
CAR_DIESEL	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.200000	0.200000	1.000000	1.000000	1.031250	0.000000	%f\t
CAR_NG	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.500000	1.000000	1.031250	0.000000	%f\t
CAR_HEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.000000	0.300000	1.000000	1.031250	0.000000	%f\t
CAR_PHEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.100000	0.300000	1.000000	1.031250	0.000000	%f\t
CAR_BEV	0.000000	0.000000	1.000000	0.000000	16.700000	16.700000	0.000000	0.300000	0.300000	1.000000	1.031250	0.000000	%f\t
