Time	DAM_STORAGE	LNG_STO	PHES	BATT_LI	BEV_BATT	PHEV_BATT	NEWSOLAR_STORAGE	DAM_STORAGE_in	DAM_STORAGE_out	LNG_STO_in	LNG_STO_out	PHES_in	PHES_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	NEWSOLAR_STORAGE_in	NEWSOLAR_STORAGE_out	
 41	4709.748002	0.000000	165.886999	0.000000	0.743028	0.039047	0.000000	-0.702969	5.260154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.444233	0.444233	-0.062628	0.062628	0.000000	0.000000	
 42	4707.980310	0.000000	163.867295	0.000000	0.742879	0.039039	0.000000	-0.698479	2.466171	0.000000	0.000000	0.000000	2.019704	0.000000	0.000000	-0.327330	0.327330	-0.046147	0.046147	0.000000	0.000000	
 43	4705.140133	0.000000	163.867295	0.000000	0.742730	0.039031	0.000000	-0.694056	3.534234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.233807	0.233807	-0.032962	0.032962	0.000000	0.000000	
 44	4702.928138	0.000000	163.867295	0.000000	0.742582	0.039023	0.000000	-0.689566	2.901561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.175355	0.175355	-0.024722	0.024722	0.000000	0.000000	
 45	4700.737970	0.000000	163.867295	0.000000	0.742433	0.039015	0.000000	-0.685075	2.875243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.116903	0.116903	-0.016481	0.016481	0.000000	0.000000	
 46	4698.509911	0.000000	163.867295	0.000000	0.742285	0.039008	0.000000	-0.680652	2.908711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.074818	0.074818	-0.010548	0.010548	0.000000	0.000000	
 47	4696.752118	0.000000	163.867295	0.000000	0.742136	0.039000	0.000000	-0.676162	2.433954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046761	0.046761	-0.006592	0.006592	0.000000	0.000000	
 48	4694.135425	0.000000	163.867295	0.000000	0.973834	0.051176	0.000000	-0.671671	3.288365	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.250551	0.018705	-0.014821	0.002637	0.000000	0.000000	
 49	4690.848615	0.000000	163.867295	0.000000	0.961949	0.049517	0.000000	-0.193499	3.480309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011690	0.000000	0.001648	0.000000	0.000000	
 50	4687.483339	0.000000	163.867295	0.000000	0.957080	0.048848	0.000000	-0.192688	3.557964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004676	0.000000	0.000659	0.000000	0.000000	
