AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,SE,SI,SK,UK,EU
0.584725923,0.711599279,0.286794187,0.58443458,0.281038358,0.521546823,0.673321207,0.812698097,0.858452633,0.296305284,0.503171623,0.900495344,0.644661084,0.428862797,0.423203882,0.744928536,0.451381738,0.601480307,0.683043246,0.64152505,0.767005328,0.498162314,0.479223023,0.753585573,0.489441788,0.459652269,0.75045554,0.683702301
0.593231379,0.730940381,0.282564995,0.596114335,0.291682299,0.516379209,0.683566136,0.827137131,0.88185896,0.303804071,0.524158962,0.916189677,0.662002609,0.424215948,0.418989917,0.764807713,0.463331149,0.592599976,0.694868442,0.658827356,0.779172637,0.492462815,0.493367177,0.767294311,0.487585077,0.455580859,0.770322385,0.695944148
0.585929662,0.742406709,0.268040419,0.596207728,0.298921593,0.491246413,0.675679802,0.822557966,0.895537613,0.310243844,0.537620307,0.909848961,0.672622491,0.403411563,0.398793296,0.775735979,0.470166545,0.560874291,0.690163289,0.668515324,0.771372187,0.467976088,0.504380349,0.764296794,0.468825395,0.434226958,0.781927814,0.694162125
0.555625502,0.735385333,0.245742428,0.57700466,0.303400083,0.448992953,0.641083203,0.786464856,0.886434845,0.314256229,0.544924874,0.868113864,0.667387593,0.369109371,0.365086297,0.766471123,0.465399949,0.510697046,0.658787821,0.660787548,0.733320391,0.427878817,0.510814033,0.732521285,0.436134662,0.398157164,0.774662523,0.67190046
0.505822907,0.699978918,0.220610534,0.536790515,0.301819583,0.398562528,0.583491843,0.72225041,0.842842707,0.313877986,0.538812596,0.794822965,0.636912178,0.328660226,0.325100087,0.727559566,0.442977629,0.452580831,0.603736236,0.627346738,0.668987889,0.380736354,0.50844203,0.675019583,0.397455035,0.355181797,0.738184319,0.627728344
0.446839244,0.640147054,0.197675122,0.482837253,0.289780596,0.34975579,0.514777823,0.643809344,0.769588841,0.304314639,0.512616613,0.705517849,0.584744005,0.289987652,0.286669634,0.663804307,0.405746108,0.397757495,0.536772429,0.572126382,0.591794582,0.335763402,0.490054928,0.604529414,0.360965197,0.313761374,0.67710996,0.568617181
0.389993076,0.568591657,0.179567964,0.42603348,0.269284119,0.310205869,0.448090717,0.56656997,0.682070587,0.288396466,0.470108045,0.617569065,0.522248021,0.258798838,0.255572931,0.588619924,0.361733379,0.354107602,0.470972475,0.506684481,0.5166115,0.299566342,0.460063022,0.535105828,0.330965082,0.280131104,0.604722885,0.505984958
0.344238393,0.499242019,0.166005076,0.376350524,0.245283723,0.281608549,0.394237313,0.503086386,0.597229516,0.270955517,0.420588523,0.545545771,0.461775891,0.236067328,0.232936819,0.51657145,0.319590262,0.322433147,0.417083132,0.443661423,0.455631442,0.273200106,0.426591791,0.477783305,0.307990033,0.255595647,0.53532368,0.450211631
0.311364162,0.442966334,0.155496885,0.338413257,0.222839786,0.260370009,0.355678567,0.457068306,0.52850541,0.256329129,0.373882595,0.493682798,0.412500671,0.219020826,0.215991411,0.458600229,0.285530668,0.298761762,0.378160674,0.392851172,0.411835254,0.253435712,0.397294193,0.435907522,0.289842662,0.237187099,0.479095393,0.406485266
0.287110589,0.402250321,0.14793936,0.31056564,0.204500046,0.244826555,0.327360298,0.422846178,0.47895092,0.244298015,0.336359019,0.455398959,0.376514537,0.20656971,0.203542816,0.41665355,0.260664728,0.2820169,0.349327145,0.356201711,0.379567934,0.23906665,0.373512265,0.404503052,0.275490968,0.223539405,0.437936082,0.37407936
0.269732841,0.37199428,0.144777742,0.29009484,0.19043121,0.23748884,0.30700034,0.396997957,0.442270189,0.233611021,0.308689222,0.426875083,0.349495713,0.200814361,0.197693976,0.385449142,0.241986928,0.27482809,0.327779746,0.329042066,0.356070381,0.232495769,0.35384891,0.380400005,0.268204316,0.217014048,0.406934609,0.350814981
0.261835366,0.349772634,0.145054471,0.277674832,0.179292815,0.237790768,0.297593463,0.383946557,0.415520489,0.223967142,0.28765434,0.412718213,0.329298056,0.201078533,0.197891109,0.362936008,0.228259288,0.275710221,0.317076551,0.309428447,0.344947561,0.232867646,0.337111756,0.367986485,0.267454369,0.217110075,0.383973191,0.336553221
