,PHOT,WTOF,WTON,BEVS,HROR
1/6/2016 8:00,0.015,0,0.085109,0.495560606,0.115922372
1/6/2016 9:00,0.044,0,0.070852,0.519312056,0.115971868
1/6/2016 10:00,0.07,0,0.069436,0.503533519,0.116021364
1/6/2016 11:00,0.081,0,0.065506,0.516904591,0.11607086
1/6/2016 12:00,0.073,0,0.062595,0.494538208,0.116120356
1/6/2016 13:00,0.051,0,0.05276,0.488466541,0.116169852
1/6/2016 14:00,0.018,0,0.043207,0.460385461,0.116219348
1/6/2016 15:00,0,0,0.051651,0.463000031,0.116268844
1/6/2016 16:00,0,0,0.073252,0.525309958,0.11631834
1/6/2016 17:00,0,0,0.089486,0.60762545,0.116367836
1/6/2016 18:00,0,0,0.105578,0.761800612,0.116417332
1/6/2016 19:00,0,0,0.125847,0.815465173,0.116466828
1/6/2016 20:00,0,0,0.146354,0.835466853,0.116516324
1/6/2016 21:00,0,0,0.150274,0.868673508,0.11656582
1/6/2016 22:00,0,0,0.187902,0.909760145,0.116615316
1/6/2016 23:00,0,0,0.216151,0.912209671,0.116664812
1/7/2016 0:00,0,0,0.229057,0.907923855,0.116714308
1/7/2016 1:00,0,0,0.25381,0.894875531,0.116761959
1/7/2016 2:00,0,0,0.29514,0.863424331,0.116809609
1/7/2016 3:00,0,0,0.323236,0.819134292,0.11685726
1/7/2016 4:00,0,0,0.366341,0.753274469,0.11690491
1/7/2016 5:00,0,0,0.425698,0.67332552,0.116952561
1/7/2016 6:00,0,0,0.455873,0.554389422,0.117000211
1/7/2016 7:00,0,0,0.480846,0.481031878,0.117047862
1/7/2016 8:00,0.003,0,0.541847,0.450086976,0.117095512
1/7/2016 9:00,0.02,0,0.644406,0.474501529,0.117143163
1/7/2016 10:00,0.057,0,0.721886,0.49219264,0.117190813
1/7/2016 11:00,0.057,0,0.764164,0.484559006,0.117238464
1/7/2016 12:00,0.029,0,0.636229,0.474373318,0.117286114
1/7/2016 13:00,0.011,0,0.383403,0.45050669,0.117333765
1/7/2016 14:00,0.005,0,0.415852,0.428669416,0.117381415
1/7/2016 15:00,0,0,0.645731,0.416070258,0.117429066
1/7/2016 16:00,0,0,0.824311,0.509632552,0.117476716
1/7/2016 17:00,0,0,0.863646,0.612131209,0.117524367
1/7/2016 18:00,0,0,0.835879,0.6785918,0.117572017
1/7/2016 19:00,0,0,0.816392,0.741977567,0.117619668
1/7/2016 20:00,0,0,0.763056,0.810372671,0.117667318
1/7/2016 21:00,0,0,0.658491,0.8620991,0.117714969
1/7/2016 22:00,0,0,0.585463,0.909577947,0.117762619
1/7/2016 23:00,0,0,0.556656,0.932822761,0.11781027
1/8/2016 0:00,0,0,0.53682,0.941545791,0.11785792
1/8/2016 1:00,0,0,0.501991,0.928405718,0.117914435
1/8/2016 2:00,0,0,0.404201,0.903720503,0.11797095
1/8/2016 3:00,0,0,0.312905,0.852807048,0.118027465
1/8/2016 4:00,0,0,0.227484,0.776874944,0.11808398
1/8/2016 5:00,0,0,0.199286,0.684326261,0.118140495
1/8/2016 6:00,0,0,0.17211,0.55952671,0.11819701
1/8/2016 7:00,0,0,0.153871,0.472600092,0.118253525
1/8/2016 8:00,0.011,0,0.168676,0.446868586,0.11831004
1/8/2016 9:00,0.044,0,0.153149,0.450679732,0.118366555
1/8/2016 10:00,0.075,0,0.136157,0.478264118,0.11842307
1/8/2016 11:00,0.094,0,0.116566,0.47684224,0.118479585
1/8/2016 12:00,0.092,0,0.097699,0.44248728,0.1185361
1/8/2016 13:00,0.071,0,0.087974,0.386362652,0.118592615
1/8/2016 14:00,0.034,0,0.091821,0.358399657,0.11864913
1/8/2016 15:00,0.003,0,0.10893,0.370918447,0.118705645
1/8/2016 16:00,0,0,0.116998,0.423681779,0.11876216
1/8/2016 17:00,0,0,0.123124,0.596022696,0.118818675
1/8/2016 18:00,0,0,0.127869,0.704090776,0.11887519
1/8/2016 19:00,0,0,0.123498,0.747432766,0.118931705
1/8/2016 20:00,0,0,0.131752,0.801378825,0.11898822
1/8/2016 21:00,0,0,0.140492,0.843536734,0.119044735
1/8/2016 22:00,0,0,0.133229,0.852526374,0.11910125
1/8/2016 23:00,0,0,0.124868,0.866190742,0.119157766
1/9/2016 0:00,0,0,0.104555,0.861340045,0.119214281
1/9/2016 1:00,0,0,0.088817,0.853571829,0.119280343
1/9/2016 2:00,0,0,0.070123,0.841378756,0.119346406
