	BE_LT	BE_HT
2070	20458,97262	7456,76054
2071	20282,7953	7456,76054
2072	18344,84473	7456,76054
2073	16406,89416	7456,76054
2074	14468,94359	7456,76054
2075	12530,99302	7456,76054
2076	10769,21978	7456,76054
2077	9712,155833	7456,76054
2078	9183,62386	7456,76054
2079	9007,446536	7456,76054
2080	9359,801185	7456,76054
2081	10064,51048	7456,76054
2082	11297,75175	7456,76054
2083	12707,17035	7456,76054
2084	13764,2343	7456,76054
2085	14821,29824	7456,76054
2086	15878,36219	7456,76054
2087	16759,24881	7456,76054
2088	17816,31276	7456,76054
2089	18521,02206	7456,76054
2090	19401,90868	7456,76054
2091	20282,7953	7456,76054
2092	20458,97262	7456,76054
2093	20811,32727	7456,76054
2094	21516,03657	7456,76054
2095	20811,32727	7456,76054
2096	20635,14995	7456,76054
2097	20106,61798	7456,76054
2098	19754,26333	7456,76054
2099	19401,90868	7456,76054
2100	19049,55403	7456,76054
2101	18873,3767	7456,76054
2102	15878,36219	7456,76054
2103	13764,2343	7456,76054
2104	12707,17035	7456,76054
2105	12178,63838	7456,76054
2106	12530,99302	7456,76054
2107	13588,05697	7456,76054
2108	14292,76627	7456,76054
2109	14997,47557	7456,76054
2110	15702,18486	7456,76054
2111	16583,07149	7456,76054
2112	17287,78078	7456,76054
2113	17992,49008	7456,76054
2114	18873,3767	7456,76054
2115	19754,26333	7456,76054
2116	20282,7953	7456,76054
2117	20811,32727	7456,76054
2118	21163,68192	7456,76054
2119	20811,32727	7456,76054
2120	19225,73135	7456,76054
2121	17111,60346	7456,76054
2122	15526,00754	7456,76054
2123	13764,2343	7456,76054
2124	12354,8157	7456,76054
2125	11297,75175	7456,76054
2126	10769,21978	7456,76054
2127	10593,04246	7456,76054
2128	10593,04246	7456,76054
2129	11297,75175	7456,76054
2130	12530,99302	7456,76054
2131	13940,41162	7456,76054
2132	14292,76627	7456,76054
2133	14821,29824	7456,76054
2134	15526,00754	7456,76054
2135	15878,36219	7456,76054
2136	16406,89416	7456,76054
2137	16406,89416	7456,76054
2138	16583,07149	7456,76054
2139	16759,24881	7456,76054
2140	17111,60346	7456,76054
2141	16406,89416	7456,76054
2142	16406,89416	7456,76054
2143	16230,71684	7456,76054
2144	15173,65289	7456,76054
2145	14116,58894	7456,76054
2146	13059,525	7456,76054
2147	12002,46105	7456,76054
2148	11121,57443	7456,76054
2149	10064,51048	7456,76054
2150	9359,801185	7456,76054
2151	8831,269211	7456,76054
2152	8478,914562	7456,76054
2153	8478,914562	7456,76054
2154	8831,269211	7456,76054
2155	9712,155833	7456,76054
2156	10945,3971	7456,76054
2157	12178,63838	7456,76054
2158	13411,87965	7456,76054
2159	15702,18486	7456,76054
2160	17992,49008	7456,76054
2161	20282,7953	7456,76054
2162	22573,10052	7456,76054
2163	24863,40574	7456,76054
2164	26625,17898	7456,76054
2165	28386,95222	7456,76054
2166	29444,01617	7456,76054
2167	28915,4842	7456,76054
2168	26449,00166	7456,76054
