	BE
1104	10624.84
1105	10384.14
1106	10171.35
1107	10025.58
1108	9914.46
1109	9859.57
1110	9838.87
1111	9939.65
1112	9963.94
1113	10094.41
1114	10262.22
1115	10482.22
1116	10614.49
1117	10713.02
1118	10567.25
1119	10397.19
1120	10277.97
1121	10191.59
1122	10364.35
1123	10863.28
1124	10955.06
1125	10806.14
1126	10618.99
1127	10642.83
1128	10627.09
1129	10360.30
1130	10177.19
1131	10037.28
1132	9980.59
1133	9994.54
1134	10240.63
1135	10795.80
1136	11274.03
1137	11318.57
1138	11419.35
1139	11456.24
1140	11462.54
1141	11399.10
1142	11333.42
1143	11232.19
1144	11190.80
1145	11168.76
1146	11292.93
1147	11653.74
1148	11567.81
1149	11287.53
1150	10987.90
1151	11050.89
1152	10969.91
1153	10676.58
1154	10463.78
1155	10291.47
1156	10191.59
1157	10233.88
1158	10466.48
1159	10982.95
1160	11393.70
1161	11413.05
1162	11508.88
1163	11541.72
1164	11586.71
1165	11491.78
1166	11476.48
1167	11412.60
1168	11373.91
1169	11327.57
1170	11469.29
1171	11747.77
1172	11620.90
1173	11326.22
1174	10978.45
1175	11078.33
1176	10987.45
1177	10719.31
1178	10470.52
1179	10299.56
1180	10221.73
1181	10237.48
1182	10440.83
1183	10975.75
1184	11390.11
1185	11431.50
1186	11501.68
1187	11557.92
1188	11613.25
1189	11470.64
1190	11395.05
1191	11366.26
1192	11346.02
1193	11310.02
1194	11382.01
1195	11656.89
1196	11588.96
1197	11310.47
1198	11050.44
1199	11095.43
1200	11008.60
1201	10692.77
1202	10426.88
1203	10291.92
1204	10159.20
1205	10180.34
1206	10437.23
1207	10946.06
1208	11321.72
1209	11305.08
1210	11374.36
1211	11428.35
1212	11535.87
1213	11400.90
1214	11438.24
1215	11391.01
1216	11374.81
1217	11395.05
1218	11469.74
1219	11711.78
1220	11572.31
1221	11253.79
1222	11006.80
1223	11081.03
1224	11010.85
1225	10686.92
1226	10457.03
1227	10228.93
1228	10144.35
1229	10201.49
1230	10448.48
1231	10970.81
1232	11347.82
1233	11341.52
1234	11449.49
1235	11435.99
1236	11487.28
1237	11338.82
1238	11241.64
1239	11177.76
1240	11149.41
1241	11058.53
1242	11135.92
1243	11409.90
1244	11389.21
1245	11106.67
1246	10852.93
1247	10991.05
1248	10997.35
1249	10675.68
1250	10389.54
1251	10228.03
1252	10078.67
1253	10035.03
1254	10069.22
1255	10172.25
1256	10281.12
1257	10482.67
1258	10778.25
1259	10879.03
1260	10966.31
1261	10908.27
1262	10776.00
1263	10634.29
1264	10598.29
1265	10551.95
1266	10642.83
1267	10993.75
1268	11008.60
1269	10757.56
1270	10525.86
1271	10599.19
1272	10620.34
1273	10356.70
1274	10121.86
1275	9962.59
1276	9851.92
1277	9801.08
1278	9842.02
1279	9905.46
1280	9896.91
1281	10058.87
1282	10248.28
1283	10401.24
1284	10478.62
1285	10452.98
1286	10370.65
1287	10224.43
1288	10192.94
1289	10131.75
1290	10253.23
1291	10780.95
1292	10931.66
1293	10811.09
1294	10538.91
1295	10549.71
1296	10510.56
1297	10223.53
1298	10033.68
1299	9881.61
1300	9811.43
1301	9880.71
1302	10148.40
1303	10778.25
1304	11174.16
1305	11202.95
1306	11255.14
1307	11213.30
1308	11194.85
1309	11088.68
1310	11083.28
1311	11000.50
1312	11000.95
1313	10974.85
1314	11062.58
1315	11387.41
1316	11447.24
1317	11183.15
1318	10870.03
1319	10929.41
1320	10829.99
1321	10503.82
1322	10260.42
1323	10082.72
1324	10023.78
1325	10080.92
1326	10318.91
1327	10863.28
1328	11248.39
1329	11291.13
1330	11355.01
1331	11367.61
1332	11409.45
1333	11281.23
1334	11270.88
1335	11240.29
1336	11251.99
1337	11172.81
1338	11291.13
1339	11558.82
1340	11479.63
1341	11213.30
1342	10932.56
1343	10975.30
1344	10932.56
1345	10590.65
1346	10336.46
1347	10214.09
1348	10141.20
1349	10176.74
1350	10375.15
1351	10904.22
1352	11264.14
1353	11269.98
1354	11374.81
1355	11394.15
1356	11421.15
1357	11294.73
1358	11216.90
1359	11115.22
1360	11133.67
1361	11115.22
1362	11128.27
1363	11415.30
