,[10] - BE_BATT_LI,[8] - BE_DEC_HP_ELEC,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[9] - BE_PHS
2015-05-19 03:00:00,0.0,5549.706751843565,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 04:00:00,0.0,10347.023075609442,7226.192327950098,283.85471234879475,7172.905827651206,0.0
2015-05-19 05:00:00,0.0,9511.972585592368,6433.309906722056,283.85471234879475,7172.905827651206,0.0
2015-05-19 06:00:00,0.0,26426.96614563163,5681.014763508455,283.85471234879475,7172.905827651206,0.0
2015-05-19 07:00:00,0.0,1384.9785303203244,6513.221700109461,283.85471234879475,7172.905827651206,0.0
2015-05-19 08:00:00,0.0,0.0,3613.3272780953766,283.85471234879475,7172.905827651206,0.0
2015-05-19 09:00:00,0.0,0.0,420.4296700068044,283.85471234879475,7172.905827651206,0.0
2015-05-19 10:00:00,0.0,0.0,761.5272891060904,283.85471234879475,7172.905827651206,0.0
2015-05-19 11:00:00,0.0,46.85661715576348,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-19 12:00:00,0.0,433.9604360040772,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-19 13:00:00,0.0,3576.124955274277,2459.3269557044123,283.85471234879475,7172.905827651206,0.0
2015-05-19 14:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 15:00:00,0.0,3576.124955274277,4918.66633102563,283.85471234879475,7172.905827651206,0.0
2015-05-19 16:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 17:00:00,0.0,5709.1450710855115,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 18:00:00,0.0,0.0,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 19:00:00,0.0,2851.624543462337,12425.475462142822,283.85471234879475,7172.905827651206,0.0
2015-05-19 20:00:00,0.0,1100.5204223176936,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 21:00:00,0.0,4216.002806303063,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 22:00:00,0.0,8959.353658270933,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-19 23:00:00,0.0,0.0,10344.390197686807,283.85471234879475,7172.905827651206,0.0
2015-05-20 00:00:00,0.0,764.1010611597909,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 01:00:00,0.0,7184.429643449451,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 02:00:00,0.0,4574.5337041049515,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 03:00:00,0.0,4934.615086893795,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 04:00:00,0.0,272.4977856084619,2665.582195878605,283.85471234879475,7172.905827651206,0.0
2015-05-20 05:00:00,0.0,2935.9499998145793,2019.4180741854204,283.85471234879475,7172.905827651206,0.0
2015-05-20 06:00:00,0.0,5916.356819149191,2091.2140875257646,283.85471234879475,7172.905827651206,0.0
2015-05-20 07:00:00,1698.6929235198709,5075.162949414227,2019.4180741854204,283.85471234879475,7172.905827651206,0.0
2015-05-20 08:00:00,0.0,640.0752956307031,1875.8260470972104,283.85471234879475,7172.905827651206,0.0
2015-05-20 09:00:00,0.0,316.37466205098406,1732.2340200090002,283.85471234879475,7172.905827651206,0.0
2015-05-20 10:00:00,0.0,1065.6393382959739,1335.839510616325,283.85471234879475,7172.905827651206,0.0
2015-05-20 11:00:00,0.0,1787.7555795959745,1123.484608289451,283.85471234879475,7172.905827651206,0.0
2015-05-20 12:00:00,0.0,2464.1543113550038,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 13:00:00,0.0,1111.5889983631687,2459.3269557044123,283.85471234879475,7172.905827651206,0.0
2015-05-20 14:00:00,0.0,1787.7555795959745,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 15:00:00,13386.2475,1787.7555795959745,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 16:00:00,13386.2475,4245.305118050717,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 17:00:00,0.0,1119.4188859033513,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 18:00:00,4386.306551152051,0.0,2459.3269557044123,283.85471234879475,7172.905827651206,0.0
2015-05-20 19:00:00,0.0,1787.7555795959745,0.0,283.85471234879475,7172.905827651206,0.0
2015-05-20 20:00:00,0.0,3576.124955274277,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 21:00:00,0.0,0.0,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 22:00:00,0.0,7990.616822288668,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-20 23:00:00,0.0,0.0,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-21 00:00:00,0.0,1787.7555795959745,1229.6619254040252,283.85471234879475,7172.905827651206,0.0
2015-05-21 01:00:00,0.0,2622.8060666506553,1804.0300333493449,283.85471234879475,7172.905827651206,0.0
2015-05-21 02:00:00,0.0,7856.618804394164,2450.194155042529,283.85471234879475,7172.905827651206,0.0
2015-05-21 03:00:00,0.0,0.0,5905.539955029788,283.85471234879475,7172.905827651206,0.0
2015-05-21 04:00:00,0.0,5188.6472114275575,0.0,283.85471234879475,7172.905827651206,0.0
