TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
TS_DEC_BOILER_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_BOILER_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
TS_DEC_BOILER_OIL	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.048263	0.000000	%f\t
SEASONAL_NG	0.000000	0.000000	30.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.041639	0.000000	%f\t
SEASONAL_H2	19.521140	0.094610	20.000000	0.000000	3.153658	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
CO2_STORAGE	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
SLCapitalf_STO	2.992411	0.187085	20.000000	0.000000	471.245780	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.058246	0.000000	%f\t
ECapitalfCapitalfICIENCY	3270.935961	0.000000	1.000000	0.000000	0.985222	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
DHN	24028.386472	0.000000	60.000000	0.000000	29.094192	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.025393	0.000000	%f\t
GRID	74930.108659	0.000000	80.000000	0.000000	1.000147	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.021548	0.000000	%f\t
H2_ELECTROLYSIS	921.518448	92.160261	15.000000	0.000000	2.995980	100000.000000	0.000000	-1.000000	1.000000	0.900000	0.074944	0.000000	%f\t
H2_NG	2040.672724	193.015382	25.000000	0.000000	2.995511	100000.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
H2_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.860000	0.048263	0.000000	%f\t
GASICapitalfICATION_SNG	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.850000	0.048263	0.000000	%f\t
PYROLYSIS	989.684699	49.481132	25.000000	0.000000	0.736253	100000.000000	0.000000	-1.000000	1.000000	0.850000	0.048263	0.000000	%f\t
ATM_CCS	0.000000	0.000000	40.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
INDUSTRY_CCS	0.000000	0.000000	40.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
SYN_METHANOLATION	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	0.950000	0.058246	0.000000	%f\t
SYN_METHANATION	0.000000	0.000000	40.000000	0.000000	0.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	0.033427	0.000000	%f\t
BIOMETHANATION	2857.915930	24.088394	20.000000	0.000000	1.720600	100000.000000	0.000000	-1.000000	1.000000	0.850000	0.058246	0.000000	%f\t
SLCapitalf_TO_DIESEL	0.000000	0.000000	1.000000	0.000000	100000.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
SLCapitalf_TO_GASOLINE	0.000000	0.000000	1.000000	0.000000	100000.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
SLCapitalf_TO_LCapitalfO	0.000000	0.000000	1.000000	0.000000	100000.000000	100000.000000	0.000000	-1.000000	1.000000	1.000000	1.015000	0.000000	%f\t
