PowerCapacity,Unit,Year,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,Nunits,COP,Tnominal,coef_COP_a,coef_COP_b
70.0,HR_STUR_OTH,2016.0,HR,STUR,OTH,0.33,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.2,0.33,0.166666667,0.799636364,back-pressure,0.55,0.0,,,,,,,,,,
0.0,HR_BATs,2016.0,HR,BATS,OTH,0.95,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,,,,0.0,0.0,0.0,0.95,,,,,,
0.0,P2H,2016.0,BE,P2HT,OTH,0.97121667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p2h,,0.194243334,0.0,0.0,0.0,0.95,5.0,,,,,
150.0,Andasol solar power station,2011.0,ES,STUR,SUN,0.25,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.2,1.0,0.0,,,,0.0,0.0,0.0,0.95,,,,,,
150.0,,,,STUR,*,0.3,4.0,4.0,0.02,0.02,65.0,0.0,0.0,0.5,0.3,0.0,0.0,,,,,,,,,,,,,
0.0,,,,*,*,1,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
0.0,,,,HDAM,WAT,0.8,0.0,0.0,0.066666667,0.066666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.8,,,,,,
0.0,,,,HPHS,WAT,0.8,0.0,0.0,0.066666667,0.066666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087.0,BE_PHOT_SUN,2016.0,BE,PHOT,SUN,1,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
712.2,BE_WTOF_WIN,2016.0,BE,WTOF,WIN,1,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
1580.0,BE_WTON_WIN,2016.0,BE,WTON,WIN,1,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,eta,0.97121667,,,,,,,,,,,,,,,,,,,,,,,
