,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-05-28 12:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 13:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 14:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 15:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 16:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 17:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 18:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 19:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 20:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 21:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 22:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-28 23:00:00,2378.398141702185,283.85471234879475,7172.905827651206,3457.8565542978145
2015-05-29 00:00:00,3598.93037134069,283.85471234879475,7172.905827651206,5232.338839659311
2015-05-29 01:00:00,4891.258614319538,283.85471234879475,7172.905827651206,7111.202435680461
2015-05-29 02:00:00,5609.218751798196,283.85471234879475,7172.905827651206,8155.015548201803
2015-05-29 03:00:00,6111.79084599565,283.85471234879475,7172.905827651206,8885.68472400435
2015-05-29 04:00:00,6111.79084599565,210.48369263218433,7172.905827651206,8885.68472400435
2015-05-29 05:00:00,5322.034696806732,283.85471234879475,7172.905827651206,7737.490303193266
2015-05-29 06:00:00,4316.890508411825,283.85471234879475,7172.905827651206,6276.151951588173
2015-05-29 07:00:00,3168.154290483581,283.85471234879475,7172.905827651206,4606.05097451642
2015-05-29 08:00:00,1947.6220604375546,283.85471234879475,7172.905827651206,2831.568688562445
2015-05-29 09:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 10:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 11:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 12:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 13:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 14:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 15:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
2015-05-29 16:00:00,1229.6619254040252,283.85471234879475,7172.905827651206,1787.7555795959745
