	BE_PV	BE_WIND_ONSHORE	BE_WIND_OFFSHORE	BE_HYDRO_RIVER
92	0	0.071462615	0.103755967	0.356177092
93	0	0.090489172	0.181090284	0.356177092
94	0	0.119575772	0.252829261	0.356177092
95	0	0.128825133	0.315603061	0.35614846
96	0	0.163524156	0.194692502	0.35614846
97	0	0.215218573	0.079142095	0.35614846
98	0	0.251770586	0.103689273	0.35614846
99	0	0.223214047	0.198051811	0.356119828
100	0	0.276024267	0.290083544	0.356119828
101	0	0.282979662	0.306055181	0.356119828
102	0	0.25071937	0.183196434	0.356119828
103	0	0.188953773	0.065754002	0.356100741
104	0	0.210189664	0.139490312	0.356100741
105	3.08655E-05	0.213158457	0.190139708	0.356100741
106	0.025061902	0.230911083	0.302562482	0.356100741
107	0.106314389	0.257440914	0.337633389	0.356072109
108	0.197698465	0.231528004	0.3084246	0.356072109
109	0.24308442	0.158221308	0.252049986	0.356072109
110	0.234327201	0.109573634	0.23735257	0.356072109
111	0.171580278	0.087043768	0.214929093	0.356072109
112	0.08878709	0.080344496	0.233256108	0.356053021
113	0.017575312	0.092947947	0.24058902	0.356053021
114	0	0.096081549	0.196114153	0.356053021
115	0	0.101155001	0.197911401	0.356053021
116	0	0.116431034	0.237970373	0.35602439
117	0	0.121887556	0.219973322	0.35602439
118	0	0.121428762	0.172349761	0.35602439
119	0	0.091524797	0.116926425	0.35602439
120	0	0.077963671	0.107525976	0.356005302
121	0	0.085527078	0.092161612	0.356005302
122	0	0.102838727	0.122100534	0.356005302
123	0	0.145649037	0.146012356	0.356005302
124	0	0.184018405	0.148511654	0.35597667
125	0	0.174679958	0.145829823	0.35597667
126	0	0.168539701	0.142063325	0.35597667
127	0	0.160537545	0.100719601	0.35597667
128	0	0.204577242	0.107747122	0.355948039
129	9.60259E-05	0.228396629	0.126776186	0.355948039
130	0.023551209	0.279400629	0.148852148	0.355948039
131	0.094808428	0.254937595	0.146640691	0.355948039
132	0.176888281	0.238432174	0.22233221	0.355928951
133	0.193060928	0.22247686	0.307220584	0.355928951
134	0.167363712	0.159452922	0.353755967	0.355928951
135	0.114083056	0.123161486	0.427436113	0.355928951
136	0.045746053	0.136508806	0.591824628	0.355900319
137	0.007413714	0.195481555	0.73244875	0.355900319
138	0	0.266941943	0.830497051	0.355900319
139	0	0.292834808	0.704254423	0.355900319
140	0	0.360618168	0.706269306	0.355881232
141	0	0.377704876	0.69382547	0.355881232
142	0	0.330683023	0.677183375	0.355881232
143	0	0.257518864	0.609393429	0.355881232
144	0	0.194156399	0.391775484	0.3558526
145	0	0.130862977	0.296577506	0.3558526
146	0	0.110462268	0.280117944	0.3558526
147	0	0.115687165	0.245457737	0.3558526
148	0	0.129139161	0.126698961	0.355823969
149	0	0.116328585	0.087693064	0.355823969
150	0	0.103239615	0.131437798	0.355823969
151	0	0.093636137	0.216224375	0.355823969
152	0	0.103671682	0.323072873	0.355804881
153	2.57212E-05	0.151887288	0.417965459	0.355804881
154	0.029673718	0.232084792	0.521430076	0.355804881
155	0.129636679	0.223452352	0.570313816	0.355804881
156	0.241045585	0.204889043	0.579261443	0.355776249
157	0.309007058	0.197539443	0.666757933	0.355776249
158	0.269303778	0.171671076	0.774536647	0.355776249
159	0.178174342	0.197234323	0.813563606	0.355776249
160	0.081111877	0.248581304	0.881156978	0.355757161
161	0.014042073	0.285322625	0.900926706	0.355757161
162	0	0.356912188	0.906757231	0.355757161
163	0	0.41893168	0.918600814	0.355757161
164	0	0.479467889	0.920320837	0.35572853
165	0	0.451782167	0.92542474	0.35572853
166	0	0.505240488	0.924192643	0.35572853
167	0	0.55388148	0.925814378	0.35572853
168	0	0.636266047	0.926874473	0.355699898
169	0	0.673348122	0.930658523	0.355699898
170	0	0.667965096	0.925730132	0.355699898
