,[10] - BE_BATT_LI,[7] - BE_DHN_HP_ELEC,[6] - BE_IND_DIRECT_ELEC,[9] - BE_PHS,[5] - BE_IND_COGEN_GAS,[8] - BE_DEC_HP_ELEC
2015-01-09 03:00:00,2393.080791792094,0.0,0.0,0.0,7456.7609999999995,10841.105084904357
2015-01-09 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28302.916344440797
2015-01-09 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15710.594966370747
2015-01-09 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26753.899314671475
2015-01-09 08:00:00,5914.973296661101,0.0,0.0,0.0,7456.7609999999995,10002.19126875326
2015-01-09 09:00:00,1977.7428091061877,0.0,0.0,0.0,7456.7609999999995,21874.089
2015-01-09 10:00:00,2486.4772069200017,0.0,0.0,0.0,7456.7609999999995,20852.772
2015-01-09 11:00:00,3416.0547364699996,0.0,0.0,0.0,7456.7609999999995,19831.389000000006
2015-01-09 12:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 13:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 14:00:00,0.0,4569.896454164049,0.0,477.8086807639884,7456.7609999999995,29267.548
2015-01-09 15:00:00,9263.09801650371,0.0,0.0,0.0,7456.7609999999995,1215.7212086747386
2015-01-09 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 17:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,2680.6725385477353
2015-01-09 18:00:00,0.0,11923.656573244018,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 20:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,29267.548
2015-01-09 21:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,235.0069026518322
2015-01-09 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,24760.54131089745
2015-01-09 23:00:00,0.0,12502.748559702206,0.0,0.0,7456.7609999999995,19251.75420190989
2015-01-10 00:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26462.570942934293
2015-01-10 01:00:00,1127.115980278275,0.0,0.0,0.0,7456.7609999999995,23301.195779363126
2015-01-10 02:00:00,8778.852453611247,0.0,0.0,0.0,7456.7609999999995,0.0
2015-01-10 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26165.225834449797
2015-01-10 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,24569.383087195078
2015-01-10 08:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 10:00:00,0.0,12163.048690133885,0.0,0.0,7456.7609999999995,14209.57931137572
2015-01-10 11:00:00,0.0,6728.015873041475,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 12:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 13:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,7610.498415946591
2015-01-10 14:00:00,0.0,5931.243318924226,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 15:00:00,0.0,0.0,0.0,82.32891019500198,7456.7609999999995,29267.548
2015-01-10 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-10 18:00:00,0.0,14139.71215477019,0.0,0.0,7456.7609999999995,9880.76533042175
2015-01-10 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,15227.974296775858
2015-01-10 20:00:00,0.0,21772.561938488478,0.0,0.0,7456.7609999999995,0.0
2015-01-10 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14749.79433375973
2015-01-10 22:00:00,0.0,17330.30829480847,0.0,0.0,7456.7609999999995,0.0
2015-01-10 23:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13488.538153021653
2015-01-11 00:00:00,0.0,252.39751953363339,0.0,0.0,7456.7609999999995,12852.076
2015-01-11 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,14369.936000000002
2015-01-11 02:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,18341.93361847224
2015-01-11 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,16277.144427722775
2015-01-11 04:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,17822.78013406227
2015-01-11 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,6177.729000700707
2015-01-11 06:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,20359.667847404744
2015-01-11 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,24539.257578775876
2015-01-11 08:00:00,6946.920446777775,0.0,0.0,0.0,7456.7609999999995,3593.040747381974
2015-01-11 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26379.161417694617
2015-01-11 10:00:00,0.0,29094.192000000003,0.0,734.2001057775,7456.7609999999995,6098.169191428693
2015-01-11 11:00:00,0.0,26225.214373204726,0.0,0.0,7456.7609999999995,29267.548
2015-01-11 12:00:00,0.0,10934.389341587754,0.0,0.0,7456.7609999999995,0.0
2015-01-11 13:00:00,0.0,2650.579378090126,0.0,0.0,7456.7609999999995,13249.341999999999
2015-01-11 14:00:00,0.0,7726.6359999999995,0.0,0.0,7456.7609999999995,26560.563350847464
2015-01-11 15:00:00,0.0,0.0,0.0,1035.0038295141694,7456.7609999999995,1995.3388637493154
2015-01-11 16:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,8764.517999999998
2015-01-11 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13022.368
2015-01-11 18:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13249.341999999999
2015-01-11 19:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,13476.316
2015-01-11 20:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,27865.349687843333
2015-01-11 21:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,0.0
2015-01-11 22:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,22829.75213417342
2015-01-11 23:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25815.59656839734
2015-01-12 00:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,24106.71608263851
2015-01-12 01:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,25186.47672253861
2015-01-12 02:00:00,0.0,21713.395350029117,0.0,0.0,7456.7609999999995,6542.343353893555
2015-01-12 03:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26925.660713823578
2015-01-12 04:00:00,2490.1923648655284,0.0,0.0,0.0,7456.7609999999995,17087.377901513566
2015-01-12 05:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28333.803881179952
2015-01-12 06:00:00,2948.278599921113,0.0,0.0,0.0,7456.7609999999995,16351.008388115479
2015-01-12 07:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,21334.615039850338
2015-01-12 08:00:00,0.0,0.0,0.0,242.73546816162707,7456.7609999999995,29267.548
2015-01-12 09:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28914.85124120048
2015-01-12 10:00:00,0.0,29094.192000000003,0.0,0.0,7456.7609999999995,7841.981014411584
2015-01-12 11:00:00,0.0,16794.899486031354,0.0,0.0,7456.7609999999995,22005.675
2015-01-12 12:00:00,0.0,9036.273065303481,0.0,0.0,7456.7609999999995,22005.675
2015-01-12 13:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,29267.548
2015-01-12 14:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,28341.308906585007
2015-01-12 15:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26823.514655533327
2015-01-12 16:00:00,7033.131303438517,0.0,0.0,0.0,7456.7609999999995,3603.8048203052313
2015-01-12 17:00:00,0.0,0.0,0.0,0.0,7456.7609999999995,26642.450637326074
2015-01-12 18:00:00,2665.502450304465,0.0,0.0,0.0,7456.7609999999995,17370.490775924198
2015-01-12 19:00:00,1050.925537680001,0.0,0.0,0.0,7456.7609999999995,22005.675
2015-01-12 20:00:00,0.0,0.0,0.0,571.5591855800296,7456.7609999999995,22578.03507026694
