,[10] - BE_BATT_LI,[2] - BE_WIND_ONSHORE,[0] - BE_CCGT,[9] - BE_PHS,[1] - BE_PV,[4] - BE_HYDRO_RIVER,[5] - BE_IND_COGEN_GAS,[3] - BE_WIND_OFFSHORE
2015-01-02 17:00:00,0.0,4061.456020000002,175.2859797610309,0.0,0.0,42.966867959999995,7132.391896499999,3260.6343035000004
2015-01-02 18:00:00,0.0,4174.105350000001,175.2859797610309,0.0,0.0,42.93709116,7132.391896499999,3230.607625
2015-01-02 19:00:00,0.0,4109.896570000001,175.2859797610309,0.0,0.0,42.91075008,7132.391896499999,3140.539878
2015-01-02 20:00:00,0.0,3804.509540000001,175.2859797610309,0.0,0.0,42.880973159999996,7132.391896499999,3140.2695870000002
2015-01-02 21:00:00,0.0,3629.544500000001,175.2859797610309,0.0,0.0,42.851196359999996,7132.391896499999,3049.612118
2015-01-02 22:00:00,0.0,3030.1066400000004,175.2859797610309,0.0,0.0,42.82141944000001,7132.391896499999,2869.5626225
2015-01-02 23:00:00,0.0,2483.7640600000004,175.2859797610309,0.0,0.0,42.791642640000006,7132.391896499999,2499.2294985
2015-01-03 00:00:00,0.0,2343.78758,1675.0579777380717,0.0,0.0,42.7733184,7132.391896499999,2261.9524025
2015-01-03 01:00:00,0.0,1700.4748300000006,3624.961736842105,1077.8505793090558,0.0,42.7733184,7132.391896499999,1887.1226465
2015-01-03 02:00:00,0.0,1797.9795300000005,3624.961736842105,0.0,0.0,42.77102784,7132.391896499999,1369.3713145000004
2015-01-03 03:00:00,0.0,2330.9146500000006,3624.961736842105,546.0547666115713,0.0,42.77102784,7132.391896499999,1650.8529905
2015-01-03 04:00:00,0.0,3241.285160000001,3624.961736842105,1164.0088464672333,0.0,42.77102784,7132.391896499999,1830.5707664999998
2015-01-03 05:00:00,0.0,4196.421410000001,3624.961736842105,1164.0088464672333,0.0,42.77102784,7132.391896499999,2294.559113
2015-01-03 06:00:00,0.0,4396.107830000001,3624.961736842105,0.0,0.0,42.76759212,7132.391896499999,2350.521271
2015-01-03 07:00:00,0.0,3282.9551600000004,3624.961736842105,0.0,0.0,42.76759212,7132.391896499999,2012.106852
2015-01-03 08:00:00,0.0,3285.293670000001,3624.961736842105,0.0,0.10147033124999999,42.76759212,7132.391896499999,1829.5018945000002
2015-01-03 09:00:00,0.0,2657.4150800000007,3624.961736842105,0.0,82.951929225,42.76759212,7132.391896499999,2320.3348770000002
2015-01-03 10:00:00,0.0,2035.9729500000003,3624.961736842105,0.0,331.4017764,42.76415628,7132.391896499999,1894.211599
2015-01-03 11:00:00,0.0,1091.0370500000001,3624.961736842105,359.2301957327436,589.1361219,42.76415628,7132.391896499999,1222.6042535000001
2015-01-03 12:00:00,0.0,1069.4782200000002,3624.961736842105,359.2301957327436,1115.86806405,42.76415628,7132.391896499999,1567.2599005000002
2015-01-03 13:00:00,0.0,1321.8813200000004,3624.961736842105,718.4219088487953,1533.113651925,42.76415628,7132.391896499999,1339.4552079999999
2015-01-03 14:00:00,0.0,1251.1024400000003,3624.961736842105,0.0,1491.1049643750002,42.76186572,7132.391896499999,806.960826
2015-01-03 15:00:00,0.0,2010.5611500000005,3624.961736842105,359.21095442439764,592.58614275,42.76186572,7132.391896499999,47.6323365
2015-01-03 16:00:00,0.0,3508.2315500000004,3624.961736842105,359.21095442439764,72.60192585,42.76186572,7132.391896499999,41.231396499999995
2015-01-03 17:00:00,0.0,3219.815410000001,3624.961736842105,359.21095442439764,0.0,42.76186572,7132.391896499999,126.999089
2015-01-03 18:00:00,0.0,1805.3959400000003,3624.961736842105,458.67824949598435,0.0,42.758430000000004,7132.391896499999,1191.164702
2015-01-03 19:00:00,0.0,2288.5987700000005,3624.961736842105,1164.0088464672333,0.0,42.758430000000004,7132.391896499999,1266.894832
2015-01-03 20:00:00,0.0,1740.6526400000002,3624.961736842105,1164.0088464672333,0.0,42.758430000000004,7132.391896499999,1350.3896385000003
2015-01-03 21:00:00,0.0,765.7838200000002,3624.961736842105,1164.0088464672333,0.0,42.758430000000004,7132.391896499999,1419.952261
2015-01-03 22:00:00,0.0,858.8342200000001,3624.961736842105,0.0,0.0,42.75613944,7132.391896499999,921.1580315000001
2015-01-03 23:00:00,0.0,901.9964200000002,3624.961736842105,0.0,0.0,42.75613944,7132.391896499999,1116.736873
2015-01-04 00:00:00,0.0,1349.3643700000002,3624.961736842105,0.0,0.0,42.75613944,7132.391896499999,1311.7505625
2015-01-04 01:00:00,0.0,1652.9919600000005,3624.961736842105,0.0,0.0,42.75613944,7132.391896499999,1165.9540865
2015-01-04 02:00:00,0.0,1513.6836200000005,3624.961736842105,0.0,0.0,42.7527036,7132.391896499999,862.112118
2015-01-04 03:00:00,0.0,1555.3090800000004,3624.961736842105,0.0,0.0,42.7527036,7132.391896499999,816.1383754999999
2015-01-04 04:00:00,0.0,1658.6043800000002,3624.961736842105,0.0,0.0,42.7527036,7132.391896499999,767.621456
2015-01-04 05:00:00,770.4524753922888,1719.761960000001,3624.961736842105,1164.0088464672333,0.0,42.7527036,7132.391896499999,555.3338245
2015-01-04 06:00:00,2775.07850901066,1258.8752000000002,3624.961736842105,1164.0088464672333,0.0,42.74926788,7132.391896499999,643.8904114999998
2015-01-04 07:00:00,3086.440860410663,969.6795600000002,3624.961736842105,1164.0088464672333,0.0,42.74926788,7132.391896499999,583.8984829999999
2015-01-04 08:00:00,2789.949800029629,1108.7429100000002,3624.961736842105,1137.1969887882665,0.7102893599999999,42.74926788,7132.391896499999,464.848356
2015-01-04 09:00:00,1620.2257919864824,1179.6999600000001,3624.961736842105,748.1510590164122,1412.110363275,42.74926788,7132.391896499999,314.309534
2015-01-04 10:00:00,0.0,1002.7750300000002,3624.961736842105,0.0,6292.67600925,42.746977320000006,7132.391896499999,179.74234599999994
2015-01-04 11:00:00,0.0,840.6829300000002,225.36768826418256,0.0,11839.342912425,42.746977320000006,7132.391896499999,134.997191
2015-01-04 12:00:00,0.0,763.8016600000002,225.36768826418256,0.0,16050.96607275,42.746977320000006,7132.391896499999,145.219039
2015-01-04 13:00:00,0.0,599.3265100000001,225.36768826418256,0.0,16859.937438,42.746977320000006,7132.391896499999,134.788332
2015-01-04 14:00:00,0.0,539.1934100000001,225.36768826418256,0.0,13377.733021575,42.74354148,7132.391896499999,106.850254
2015-01-04 15:00:00,0.0,562.22216,3624.961736842105,0.0,7218.744048,42.74354148,7132.391896499999,150.10881899999998
2015-01-04 16:00:00,0.0,582.3778900000002,3624.961736842105,0.0,1450.7198021250001,42.74354148,7132.391896499999,123.2396095
2015-01-04 17:00:00,0.0,952.7086600000002,3624.961736842105,0.0,0.0,42.74354148,7132.391896499999,146.1404805
2015-01-04 18:00:00,0.0,1006.9398000000002,3624.961736842105,0.0,0.0,42.74125104,7132.391896499999,148.953945
2015-01-04 19:00:00,0.0,714.62615,3624.961736842105,1164.0088464672333,0.0,42.74125104,7132.391896499999,363.1458845
2015-01-04 20:00:00,0.0,904.8917200000003,3624.961736842105,1164.0088464672333,0.0,42.74125104,7132.391896499999,633.815994
2015-01-04 21:00:00,0.0,1195.7577200000005,3624.961736842105,1164.0088464672333,0.0,42.74125104,7132.391896499999,884.9024135000001
2015-01-04 22:00:00,0.0,1288.2513300000003,3624.961736842105,961.8800180625078,0.0,42.7378152,7132.391896499999,1104.6107135000002
2015-01-04 23:00:00,0.0,1635.2415600000004,3624.961736842105,660.444470886684,0.0,42.7378152,7132.391896499999,681.4237569999999
2015-01-05 00:00:00,0.0,2152.18573,4430.508789473684,509.72669729877214,0.0,42.7378152,7132.391896499999,276.99733249999997
2015-01-05 01:00:00,0.0,2517.7058600000005,4430.508789473684,434.36781050481625,0.0,42.7378152,7132.391896499999,362.9124555000001
2015-01-05 02:00:00,0.0,2232.1404700000003,4430.508789473684,396.6595051453194,0.0,42.734379360000005,7132.391896499999,693.1813384999999
2015-01-05 03:00:00,0.0,2760.2426700000005,4430.508789473684,377.8197834468304,0.0,42.734379360000005,7132.391896499999,1015.292404
2015-01-05 04:00:00,0.0,2829.796620000001,4430.508789473684,368.3999225975859,0.0,42.734379360000005,7132.391896499999,1071.1931335
2015-01-05 05:00:00,0.0,2507.1937000000003,4430.508789473684,363.6899921729636,0.0,42.734379360000005,7132.391896499999,641.187519
2015-01-05 06:00:00,0.0,1889.5377300000005,4430.508789473684,361.31578666033823,0.0,42.73208892,7132.391896499999,230.139007
2015-01-05 07:00:00,0.0,2101.8966400000004,4430.508789473684,360.1383040541827,0.0,42.73208892,7132.391896499999,488.21609200000006
2015-01-05 08:00:00,0.0,2131.5845700000004,4430.508789473684,359.54956275110493,1.8264659625000002,42.73208892,7132.391896499999,665.4889779999999
2015-01-05 09:00:00,0.0,2309.1108300000005,4430.508789473684,0.0,1483.03805085,42.73208892,7132.391896499999,1058.968687
2015-01-05 10:00:00,0.0,2574.409140000001,4430.508789473684,0.0,6291.153969075,42.72865308,7132.391896499999,1181.7168615
2015-01-05 11:00:00,0.0,2315.2800400000006,2914.4872834506423,0.0,11698.806666375,42.72865308,7132.391896499999,1079.4860999999996
2015-01-05 12:00:00,0.0,1582.2130800000004,3225.672614320003,0.0,14384.520553499999,42.72865308,7132.391896499999,882.1749510000001
2015-01-05 13:00:00,0.0,1095.7363400000002,4281.798744645006,0.0,13866.312119175,42.72865308,7132.391896499999,830.733995
2015-01-05 14:00:00,0.0,870.4376800000002,4430.508789473684,0.0,10153.262950650002,42.72865308,7132.391896499999,752.2518255
2015-01-05 15:00:00,0.0,803.4449600000002,4430.508789473684,0.0,5253.97605075,42.72636252,7132.391896499999,816.3963779999999
2015-01-05 16:00:00,0.0,929.4794700000002,4430.508789473684,0.0,1040.0190876,42.72636252,7132.391896499999,842.0615699999998
2015-01-05 17:00:00,0.0,960.8154900000003,4430.508789473684,0.0,0.0,42.72636252,7132.391896499999,686.3995355
2015-01-05 18:00:00,0.0,1011.5500100000002,4430.508789473684,0.0,0.0,42.72636252,7132.391896499999,692.6899034999998
2015-01-05 19:00:00,0.0,1164.3103400000005,4430.508789473684,0.0,0.0,42.7229268,7132.391896499999,832.8963054999999
2015-01-05 20:00:00,0.0,1218.8755600000002,4430.508789473684,336.5118045553195,0.0,42.7229268,7132.391896499999,769.9066270000001
2015-01-05 21:00:00,1081.6431985895688,1214.2876200000005,4430.508789473684,1076.6130890513327,0.0,42.7229268,7132.391896499999,603.2241635
2015-01-05 22:00:00,4625.657407226316,915.2479700000004,4430.508789473684,0.0,0.0,42.7229268,7132.391896499999,409.2424875
2015-01-05 23:00:00,4794.172529286316,779.6367100000001,4430.508789473684,0.0,0.0,42.720636240000005,7132.391896499999,376.340916
