Scenario,region,id,r,fuel_class,fraction
Baseline,Africa,1992,20,HRD,0.379365559
Baseline,Africa,1992,20,NUC,0.021407947
Baseline,Africa,1992,20,OIL,0.016443975
Baseline,Africa,1992,20,PEA,0.000166383
Baseline,Africa,1992,20,SUN,0.009624255
Baseline,Africa,1992,20,WAT,0.160033168
Baseline,Africa,1992,20,WIN,0.01806765
Baseline,Africa,2011,21,BIO,0.003111234
Baseline,Africa,2011,21,GAS,0.386975912
Baseline,Africa,2011,21,GEO,6.59E-03
Baseline,Africa,2011,21,HRD,0.379197493
Baseline,Africa,2011,21,NUC,0.021407229
Baseline,Africa,2011,21,OIL,1.40E-02
Baseline,Africa,2011,21,PEA,0.000166377
Baseline,Africa,2011,21,SUN,0.009620392
Baseline,Africa,2011,21,WAT,0.16080379
Baseline,Africa,2011,21,WIN,0.018087991
Baseline,Africa,1994,22,BIO,0.002942098
Baseline,Africa,1994,22,GAS,0.387946319
Baseline,Africa,1994,22,GEO,0.006590786
Baseline,Africa,1994,22,HRD,0.37634841
Baseline,Africa,1994,22,NUC,0.021408088
Baseline,Africa,1994,22,OIL,0.014302673
Baseline,Africa,1994,22,PEA,0.000166384
Baseline,Africa,1994,22,SUN,0.009620801
Baseline,Africa,1994,22,WAT,0.162607271
Baseline,Africa,1994,22,WIN,0.018067169
Baseline,Africa,2018,23,BIO,0.002933374
Baseline,Africa,2018,23,GAS,0.392955724
Baseline,Africa,2018,23,GEO,0.006589749
Baseline,Africa,2018,23,HRD,0.369198032
Baseline,Africa,2018,23,NUC,0.021404721
Baseline,Africa,2018,23,OIL,0.014346427
Baseline,Africa,2018,23,PEA,0.000166358
Baseline,Africa,2018,23,SUN,0.009620396
Baseline,Africa,2018,23,WAT,0.1647178
Baseline,Africa,2018,23,WIN,0.018067418
Baseline,Africa,2001,24,BIO,0.003071478
Baseline,Africa,2001,24,GAS,0.385487475
Baseline,Africa,2001,24,GEO,0.006590255
Baseline,Africa,2001,24,HRD,0.37424306
Baseline,Africa,2001,24,NUC,0.021406363
Baseline,Africa,2001,24,OIL,0.016151748
Baseline,Africa,2001,24,PEA,0.000166371
Baseline,Africa,2001,24,SUN,0.00961935
Baseline,Africa,2001,24,WAT,0.165166483
Baseline,Africa,2001,24,WIN,0.018097418
Baseline,Africa,1982,25,BIO,0.003010075
Baseline,Africa,1982,25,GAS,0.383231485
Baseline,Africa,1982,25,GEO,0.006590528
Baseline,Africa,1982,25,HRD,0.376913138
Baseline,Africa,1982,25,NUC,0.021407251
Baseline,Africa,1982,25,OIL,0.014663879
