Variable,Scenario,id,Pool,WEI+_Int,WEI_AbsInt,WEI+,WEI_Abs
Thermal,Baseline,2009,NAPP,0.001948174,0.158554856,0.001546215,0.125840915
Thermal,Baseline,2010,NAPP,0.001938264,0.157753976,0.001538351,0.125205277
Thermal,Baseline,2011,NAPP,0.001941232,0.158125516,0.001540706,0.125500159
Thermal,Baseline,2012,NAPP,0.001942261,0.158375101,0.001541523,0.125698248
Thermal,Baseline,2013,NAPP,0.001938703,0.158021363,0.001538699,0.125417495
Thermal,Baseline,2014,NAPP,0.001944633,0.158401254,0.001543405,0.125719005
Thermal,Baseline,2015,NAPP,0.001938384,0.157886001,0.001538445,0.125310062
Thermal,Baseline,2016,NAPP,0.00195503,0.15925895,0.001551657,0.126399737
Thermal,Baseline,2017,NAPP,0.001951847,0.158659779,0.001549131,0.12592419
Thermal,Baseline,2018,NAPP,0.00194157,0.158259422,0.001540974,0.125606437
Thermal,Baseline,1980,SAPP,0.000864998,0.148133261,0.000580188,0.099358702
Thermal,Baseline,1981,SAPP,0.00088565,0.162352926,0.000594039,0.108896381
Thermal,Baseline,1982,SAPP,0.000889071,0.161978732,0.000596334,0.108645395
Thermal,Baseline,1983,SAPP,0.000871355,0.126381443,0.000584451,0.084768917
Thermal,Baseline,1984,SAPP,0.000879848,0.098364067,0.000590148,0.065976581
Thermal,Baseline,1985,SAPP,0.000853762,0.118806,0.000572651,0.079687775
Thermal,Baseline,1986,SAPP,0.000868397,0.142735727,0.000582468,0.095738367
Thermal,Baseline,1987,SAPP,0.000851499,0.148632172,0.000571134,0.099693341
Thermal,Baseline,1988,SAPP,0.000884248,0.147008901,0.000593099,0.09860455
Thermal,Baseline,1989,SAPP,0.000879058,0.151007827,0.000589618,0.101286784
Thermal,Baseline,1990,SAPP,0.00088075,0.14822193,0.000590753,0.099418176
Thermal,Baseline,1991,SAPP,0.000879397,0.127315325,0.000589846,0.085395308
Thermal,Baseline,1992,SAPP,0.000895301,0.126463583,0.000600513,0.084824012
Thermal,Baseline,1993,SAPP,0.000893234,0.135128847,0.000599127,0.090636139
Thermal,Baseline,1994,SAPP,0.000887548,0.144077235,0.000595313,0.096638169
Thermal,Baseline,1995,SAPP,0.00087495,0.159577898,0.000586863,0.107035063
Thermal,Baseline,1996,SAPP,0.000911282,0.137955655,0.000611232,0.092532189
Thermal,Baseline,1997,SAPP,0.00090726,0.113746313,0.000608535,0.076294047
Thermal,Baseline,1998,SAPP,0.000845923,0.145482184,0.000567393,0.097580523
Thermal,Baseline,1999,SAPP,0.000898944,0.129516504,0.000602956,0.086871724
Thermal,Baseline,2000,SAPP,0.000932055,0.141845943,0.000625165,0.095141555
Thermal,Baseline,2001,SAPP,0.00087861,0.157598196,0.000589318,0.1057072
