Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLCapitalf_STO	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLCapitalf_STO_in	SLCapitalf_STO_out	
 33	2.070896	39.325089	0.000000	0.000000	0.000000	1.454527	0.000000	231.646598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
 34	2.070896	39.317224	0.000000	0.000000	0.000000	1.454527	0.000000	231.481160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 35	2.070896	39.309361	0.000000	0.000000	0.000000	1.454527	0.000000	231.186914	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 36	2.070896	39.301499	0.000000	0.000000	0.000000	1.454527	0.000000	230.789614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397300	
 37	2.070896	39.293638	0.000000	0.000000	0.000000	1.454527	0.000000	230.495368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 38	2.070896	39.285780	0.000000	0.000000	0.000000	1.454527	0.000000	230.188238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307129	
 39	2.070896	39.466929	0.000000	0.000000	0.000000	1.454527	0.000000	229.752295	0.000000	0.000000	-0.189006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.435943	
 40	2.070896	39.459035	0.000000	0.000000	0.000000	1.454049	0.000000	229.264825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 41	2.070896	39.451143	0.000000	0.000000	0.000000	1.453570	0.000000	228.777355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 42	2.070896	39.443253	0.000000	0.000000	0.000000	1.453570	0.000000	228.611917	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 43	2.070896	39.435365	0.000000	0.000000	0.000000	1.453570	0.000000	228.704107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092190	0.000000	
 44	2.070896	39.427477	0.000000	0.000000	0.000000	1.453570	0.000000	228.957313	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.253206	0.000000	
 45	2.070896	39.419592	0.000000	0.000000	0.000000	1.453570	0.000000	229.371534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.414221	0.000000	
 46	2.070896	39.411708	0.000000	0.000000	0.000000	1.453570	0.000000	229.901687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 47	2.070896	39.403826	0.000000	0.000000	0.000000	1.453570	0.000000	230.509127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.607441	0.000000	
 48	2.070896	39.395945	0.000000	0.000000	0.000000	1.453570	0.000000	231.193856	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.684728	0.000000	
 49	2.070896	39.388066	0.000000	0.000000	0.000000	1.453570	0.000000	231.897906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.704050	0.000000	
 50	2.070896	39.380188	0.000000	0.000000	0.000000	1.453570	0.000000	232.621278	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.723372	0.000000	
 51	2.070896	39.372312	0.000000	0.000000	0.000000	1.453570	0.000000	233.351091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.729813	0.000000	
 52	2.070896	39.364438	0.000000	0.000000	0.000000	1.453570	0.000000	234.010056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.658966	0.000000	
 53	2.070896	39.356565	0.000000	0.000000	0.000000	1.453570	0.000000	234.540209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.530153	0.000000	
 54	2.070896	39.348693	0.000000	0.000000	0.000000	1.453570	0.000000	234.761211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.221002	0.000000	
 55	2.070896	39.340824	0.000000	0.000000	0.000000	1.453570	0.000000	234.499167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262044	
 56	2.070896	39.332956	0.000000	0.000000	0.000000	1.453570	0.000000	234.365937	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.133230	
 57	2.070896	39.325089	0.000000	0.000000	0.000000	1.453570	0.000000	234.297110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068826	
 58	2.070896	39.317224	0.000000	0.000000	0.000000	1.453570	0.000000	234.131672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 59	2.070896	39.309361	0.000000	0.000000	0.000000	1.453570	0.000000	233.837426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 60	2.070896	39.301499	0.000000	0.000000	0.000000	1.453570	0.000000	233.440126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397300	
 61	2.070896	39.293638	0.000000	0.000000	0.000000	1.453570	0.000000	233.145880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.294246	
 62	2.070896	39.285780	0.000000	0.000000	0.000000	1.453570	0.000000	232.838750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307129	
 63	2.070896	39.466929	0.000000	0.000000	0.000000	1.453570	0.000000	232.402807	0.000000	0.000000	-0.189006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.435943	
 64	2.070896	39.459035	0.000000	0.000000	0.000000	1.453092	0.000000	231.915337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 65	2.070896	39.451143	0.000000	0.000000	0.000000	1.452614	0.000000	231.427867	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000478	0.000000	0.000000	0.000000	0.487470	
 66	2.070896	39.443253	0.000000	0.000000	0.000000	1.452614	0.000000	231.262429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.165438	
 67	2.070896	39.435365	0.000000	0.000000	0.000000	1.452614	0.000000	231.354619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092190	0.000000	
 68	2.070896	39.427477	0.000000	0.000000	0.000000	1.452614	0.000000	231.607825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.253206	0.000000	
